Date,Open,High,Low,Close,Adj Close,Volume
2021-11-10,9.770000,9.780000,9.750000,9.750000,9.750000,373300
2021-11-11,9.760000,9.820000,9.750000,9.780000,9.780000,24400
2021-11-12,9.780000,9.800000,9.720000,9.750000,9.750000,943300
2021-11-15,9.780000,9.790000,9.730000,9.790000,9.790000,13600
2021-11-16,9.750000,9.780000,9.730000,9.750000,9.750000,190800
2021-11-17,9.730000,9.790000,9.730000,9.785000,9.785000,7100
2021-11-18,9.780000,9.800000,9.750000,9.800000,9.800000,94900
2021-11-19,9.790000,9.818000,9.790000,9.800000,9.800000,82400
2021-11-22,9.841000,9.859000,9.800000,9.800000,9.800000,12200
2021-11-23,9.800000,9.805000,9.790000,9.800000,9.800000,16600
2021-11-24,9.790000,9.790000,9.790000,9.790000,9.790000,900
2021-11-26,9.340000,9.340000,9.340000,9.340000,9.340000,200
2021-11-29,9.890000,9.890000,9.780000,9.785000,9.785000,1400
2021-11-30,9.785000,9.785000,9.785000,9.785000,9.785000,0
2021-12-01,9.880000,9.880000,9.780000,9.780000,9.780000,101600
2021-12-02,9.780000,9.790000,9.760000,9.775000,9.775000,43500
2021-12-03,9.770000,9.780000,9.750000,9.780000,9.780000,6400
2021-12-06,9.770000,9.790000,9.770000,9.770000,9.770000,17300
2021-12-07,9.780000,9.790000,9.765000,9.770000,9.770000,71000
2021-12-08,9.770000,9.770000,9.770000,9.770000,9.770000,0
2021-12-09,9.770000,9.770000,9.750000,9.760000,9.760000,10500
2021-12-10,9.750000,9.780000,9.750000,9.760000,9.760000,29200
2021-12-13,9.750000,9.750000,9.750000,9.750000,9.750000,300
2021-12-14,9.750000,9.750000,9.750000,9.750000,9.750000,2100
2021-12-15,9.740000,9.750000,9.740000,9.750000,9.750000,4600
2021-12-16,9.750000,9.750000,9.750000,9.750000,9.750000,6000
2021-12-17,9.800000,9.825000,9.750000,9.780000,9.780000,26600
2021-12-20,9.780000,9.802000,9.770000,9.800000,9.800000,267500
2021-12-21,9.795000,9.815000,9.795000,9.815000,9.815000,149200
2021-12-22,9.820000,9.840000,9.800000,9.830000,9.830000,51100
2021-12-23,9.820000,9.820000,9.800000,9.800000,9.800000,6500
2021-12-27,9.840000,9.850000,9.800000,9.800000,9.800000,8400
2021-12-28,9.800000,9.890000,9.800000,9.800000,9.800000,15700
2021-12-29,9.800000,9.800000,9.800000,9.800000,9.800000,9000
2021-12-30,9.810000,9.820000,9.800000,9.816000,9.816000,6700
2021-12-31,9.800000,9.800000,9.790000,9.790000,9.790000,8900
2022-01-03,9.810000,9.910000,9.810000,9.910000,9.910000,112300
2022-01-04,9.870000,9.900000,9.865000,9.900000,9.900000,1800
2022-01-05,9.900000,9.900000,9.900000,9.900000,9.900000,0
2022-01-06,9.800000,9.800000,9.800000,9.800000,9.800000,447900
2022-01-07,9.890000,9.890000,9.811000,9.870000,9.870000,1000
2022-01-10,9.840000,9.890000,9.840000,9.880000,9.880000,8300
2022-01-11,9.850000,9.850000,9.850000,9.850000,9.850000,800
2022-01-12,9.850000,9.850000,9.850000,9.850000,9.850000,0
2022-01-13,9.850000,9.860000,9.850000,9.860000,9.860000,37600
2022-01-14,9.850000,9.855000,9.850000,9.850000,9.850000,1500
2022-01-18,9.864000,9.864000,9.840000,9.850000,9.850000,18000
2022-01-19,9.856000,9.856000,9.840000,9.850000,9.850000,21800
2022-01-20,9.840000,9.840000,9.840000,9.840000,9.840000,100
2022-01-21,9.840000,9.840000,9.800000,9.810000,9.810000,204100
2022-01-24,9.850000,9.870000,9.817000,9.817000,9.817000,2300
2022-01-25,9.825000,9.825000,9.800000,9.800000,9.800000,12300
2022-01-26,9.800000,9.800000,9.800000,9.800000,9.800000,0
2022-01-27,9.800000,9.800000,9.800000,9.800000,9.800000,400
2022-01-28,9.800000,9.800000,9.800000,9.800000,9.800000,0
2022-01-31,9.800000,9.800000,9.800000,9.800000,9.800000,600
2022-02-01,9.830000,9.950000,9.830000,9.910000,9.910000,34000
2022-02-02,9.890000,9.890000,9.850000,9.850000,9.850000,2200
2022-02-03,9.823000,9.823000,9.823000,9.823000,9.823000,2100
2022-02-04,9.823000,9.823000,9.823000,9.823000,9.823000,0
2022-02-07,9.823000,9.823000,9.823000,9.823000,9.823000,0
2022-02-08,9.840000,9.840000,9.840000,9.840000,9.840000,300
2022-02-09,9.840000,9.840000,9.840000,9.840000,9.840000,0
2022-02-10,9.840000,9.840000,9.840000,9.840000,9.840000,0
2022-02-11,9.910000,9.910000,9.830000,9.870000,9.870000,3600
2022-02-14,9.850000,9.870000,9.840000,9.850000,9.850000,96000
2022-02-15,9.852000,9.908000,9.830000,9.890000,9.890000,36900
2022-02-16,9.890000,9.890000,9.890000,9.890000,9.890000,0
2022-02-17,9.890000,9.890000,9.890000,9.890000,9.890000,0
2022-02-18,9.830000,9.830000,9.830000,9.830000,9.830000,800
2022-02-22,9.800000,9.840000,9.800000,9.820000,9.820000,16900
2022-02-23,9.810000,9.830000,9.810000,9.830000,9.830000,9200
2022-02-24,9.810000,9.810000,9.800000,9.800000,9.800000,8400
2022-02-25,9.810000,9.810000,9.810000,9.810000,9.810000,300
2022-02-28,9.800000,9.810000,9.790000,9.808000,9.808000,21300
2022-03-01,9.800000,9.800000,9.800000,9.800000,9.800000,1500
2022-03-02,9.800000,9.800000,9.800000,9.800000,9.800000,900
2022-03-03,9.810000,9.810000,9.810000,9.810000,9.810000,7900
2022-03-04,9.810000,9.810000,9.810000,9.810000,9.810000,0
2022-03-07,9.810000,9.820000,9.810000,9.820000,9.820000,73700
2022-03-08,9.820000,9.830000,9.810000,9.830000,9.830000,3300
2022-03-09,9.810000,9.840000,9.810000,9.840000,9.840000,10500
2022-03-10,9.820000,9.820000,9.820000,9.820000,9.820000,100
2022-03-11,9.820000,9.820000,9.820000,9.820000,9.820000,0
2022-03-14,9.820000,9.860000,9.820000,9.860000,9.860000,133000
2022-03-15,9.860000,9.860000,9.860000,9.860000,9.860000,0
2022-03-16,9.845000,9.845000,9.845000,9.845000,9.845000,400
2022-03-17,9.845000,9.845000,9.845000,9.845000,9.845000,0
2022-03-18,9.845000,9.845000,9.845000,9.845000,9.845000,0
2022-03-18,9.845000,9.880000,9.880000,9.845000,9.845000,2
