Date,Open,High,Low,Close,Adj Close,Volume
2017-03-20,3.350000,3.400000,3.300000,3.300000,3.040085,3600
2017-03-21,3.300000,3.300000,3.150000,3.200000,2.947962,34000
2017-03-22,3.200000,3.200000,3.050000,3.100000,2.855838,5600
2017-03-23,3.150000,3.350000,3.130000,3.200000,2.947962,19000
2017-03-24,3.100000,3.100000,2.800000,3.000000,2.763714,136000
2017-03-27,2.950000,3.000000,2.800000,2.900000,2.671590,65000
2017-03-28,2.900000,3.000000,2.900000,2.950000,2.717652,11000
2017-03-29,2.950000,2.950000,2.900000,2.900000,2.671590,11900
2017-03-30,2.900000,2.950000,2.900000,2.900000,2.671590,7100
2017-03-31,2.900000,2.950000,2.900000,2.900000,2.671590,15800
2017-04-03,2.900000,2.950000,2.700000,2.900000,2.671590,72600
2017-04-04,2.950000,2.950000,2.900000,2.900000,2.671590,7300
2017-04-05,2.900000,3.200000,2.900000,2.900000,2.671590,168200
2017-04-06,2.950000,3.450000,2.900000,3.100000,2.855838,202900
2017-04-07,3.050000,3.050000,2.850000,2.900000,2.671590,55100
2017-04-10,2.960000,2.960000,2.900000,2.900000,2.671590,27600
2017-04-11,2.900000,3.000000,2.900000,2.900000,2.671590,6400
2017-04-12,2.900000,2.960000,2.900000,2.900000,2.671590,10600
2017-04-13,2.900000,2.950000,2.850000,2.850000,2.625529,9500
2017-04-17,2.850000,2.950000,2.850000,2.900000,2.671590,3900
2017-04-18,2.850000,2.900000,2.850000,2.850000,2.625529,12400
2017-04-19,2.900000,2.900000,2.850000,2.850000,2.625529,28400
2017-04-20,2.900000,2.900000,2.850000,2.850000,2.625529,12800
2017-04-21,2.850000,2.900000,2.850000,2.900000,2.671590,17100
2017-04-24,2.850000,2.950000,2.850000,2.850000,2.625529,58800
2017-04-25,2.850000,2.900000,2.850000,2.850000,2.625529,10100
2017-04-26,2.900000,2.900000,2.850000,2.850000,2.625529,4400
2017-04-27,2.860000,2.900000,2.850000,2.900000,2.671590,8900
2017-04-28,2.850000,2.900000,2.850000,2.850000,2.625529,8100
2017-05-01,2.900000,2.900000,2.850000,2.850000,2.625529,8700
2017-05-02,2.900000,2.900000,2.850000,2.850000,2.625529,18800
2017-05-03,2.850000,2.900000,2.850000,2.900000,2.671590,7100
2017-05-04,2.950000,3.300000,2.850000,3.150000,2.901900,117600
2017-05-05,3.240000,3.400000,3.200000,3.300000,3.040085,59800
2017-05-08,3.400000,3.400000,3.350000,3.400000,3.132209,16700
2017-05-09,3.450000,3.450000,3.400000,3.450000,3.178271,21500
2017-05-10,3.450000,3.450000,3.400000,3.430000,3.159847,3900
2017-05-11,3.410000,3.450000,3.400000,3.430000,3.159847,9100
2017-05-12,3.400000,3.450000,3.400000,3.400000,3.132209,20600
2017-05-15,3.500000,3.550000,3.450000,3.550000,3.270395,18000
2017-05-16,3.600000,3.600000,3.540000,3.600000,3.316457,4300
2017-05-17,3.600000,3.600000,3.450000,3.450000,3.178271,24100
2017-05-18,3.400000,3.500000,3.400000,3.500000,3.224333,5600
2017-05-19,3.500000,3.520000,3.450000,3.490000,3.215121,4700
2017-05-22,3.550000,3.600000,3.500000,3.500000,3.224333,3800
2017-05-23,3.500000,3.550000,3.450000,3.500000,3.224333,5700
2017-05-24,3.500000,3.500000,3.350000,3.400000,3.132209,12900
2017-05-25,3.490000,3.500000,3.400000,3.500000,3.224333,3900
2017-05-26,3.410000,3.500000,3.350000,3.350000,3.086148,6700
2017-05-30,3.350000,3.410000,3.350000,3.350000,3.086148,9900
2017-05-31,3.350000,3.450000,3.350000,3.350000,3.086148,2200
2017-06-01,3.400000,3.450000,3.350000,3.350000,3.086148,5600
2017-06-02,3.350000,3.450000,3.350000,3.350000,3.086148,11700
2017-06-05,3.350000,3.400000,3.250000,3.250000,2.994024,16700
2017-06-06,3.350000,3.350000,3.300000,3.330000,3.067722,2300
2017-06-07,3.400000,3.450000,3.350000,3.400000,3.132209,29900
2017-06-08,3.400000,3.400000,3.250000,3.250000,2.994024,8800
2017-06-09,3.350000,3.350000,3.250000,3.300000,3.040085,6900
2017-06-12,3.350000,3.350000,3.250000,3.250000,2.994024,26300
2017-06-13,3.350000,3.390000,3.300000,3.390000,3.122997,3800
2017-06-14,3.400000,3.400000,3.300000,3.300000,3.040085,4000
2017-06-15,3.350000,3.450000,3.250000,3.400000,3.132209,5500
2017-06-16,3.350000,3.450000,3.300000,3.300000,3.040085,3400
2017-06-19,3.300000,3.300000,3.300000,3.300000,3.040085,3500
2017-06-20,3.300000,3.350000,3.250000,3.350000,3.086148,18300
2017-06-21,3.360000,3.360000,3.350000,3.350000,3.086148,500
2017-06-22,3.450000,3.550000,3.400000,3.500000,3.224333,70800
2017-06-23,3.500000,3.690000,3.500000,3.600000,3.316457,9400
2017-06-26,3.600000,3.700000,3.550000,3.700000,3.408581,16000
2017-06-27,3.600000,3.700000,3.600000,3.600000,3.316457,13800
2017-06-28,3.600000,3.650000,3.600000,3.650000,3.362519,2300
2017-06-29,3.650000,3.700000,3.600000,3.650000,3.362519,6500
2017-06-30,3.620000,3.700000,3.600000,3.600000,3.316457,6700
2017-07-03,3.600000,3.600000,3.500000,3.550000,3.270395,2300
2017-07-05,3.550000,3.550000,3.470000,3.550000,3.270395,2200
2017-07-06,3.450000,3.500000,3.450000,3.500000,3.224333,18400
2017-07-07,3.470000,3.500000,3.470000,3.470000,3.196696,600
2017-07-10,3.450000,3.510000,3.450000,3.500000,3.224333,5000
2017-07-11,3.550000,3.750000,3.550000,3.650000,3.362519,27200
2017-07-12,3.740000,3.800000,3.700000,3.700000,3.408581,12500
2017-07-13,3.800000,3.850000,3.750000,3.800000,3.500705,6200
2017-07-14,3.750000,3.830000,3.750000,3.750000,3.454643,6900
2017-07-17,3.750000,3.850000,3.750000,3.850000,3.546766,1100
2017-07-18,3.800000,3.850000,3.800000,3.850000,3.546766,17000
2017-07-19,3.800000,3.850000,3.800000,3.800000,3.500705,7800
2017-07-20,3.810000,3.850000,3.800000,3.840000,3.537554,5500
2017-07-21,3.810000,3.850000,3.800000,3.850000,3.546766,4500
2017-07-24,3.820000,3.850000,3.750000,3.750000,3.454643,18900
2017-07-25,3.750000,3.800000,3.750000,3.750000,3.454643,4200
2017-07-26,3.750000,3.800000,3.650000,3.750000,3.454643,10400
2017-07-27,3.650000,3.700000,3.650000,3.650000,3.362519,4100
2017-07-28,3.700000,3.700000,3.550000,3.550000,3.270395,11800
2017-07-31,3.650000,3.650000,3.550000,3.600000,3.316457,2500
2017-08-01,3.550000,3.600000,3.500000,3.500000,3.224333,5400
2017-08-02,3.500000,3.500000,3.390000,3.400000,3.132209,3900
2017-08-03,3.450000,3.500000,3.300000,3.300000,3.040085,7100
2017-08-04,3.330000,3.400000,3.300000,3.350000,3.086148,6000
2017-08-07,3.300000,3.400000,3.100000,3.150000,2.901900,3500
2017-08-08,3.150000,3.200000,3.150000,3.150000,2.901900,8300
2017-08-09,3.100000,3.200000,3.100000,3.100000,2.855838,3800
2017-08-10,3.100000,3.150000,2.950000,2.950000,2.717652,14800
2017-08-11,2.950000,3.050000,2.650000,2.850000,2.625529,61400
2017-08-14,2.890000,2.900000,2.800000,2.900000,2.671590,9900
2017-08-15,2.850000,2.850000,2.750000,2.750000,2.533404,6200
2017-08-16,2.750000,2.900000,2.650000,2.650000,2.441281,43600
2017-08-17,2.700000,2.900000,2.700000,2.850000,2.625529,47500
2017-08-18,2.800000,2.850000,2.750000,2.850000,2.625529,14500
2017-08-21,2.750000,2.800000,2.700000,2.700000,2.487343,7100
2017-08-22,2.800000,2.800000,2.750000,2.750000,2.533404,8400
2017-08-23,2.750000,2.800000,2.700000,2.750000,2.533404,65000
2017-08-24,2.750000,2.900000,2.750000,2.850000,2.625529,20700
2017-08-25,2.890000,3.050000,2.890000,3.050000,2.809776,23800
2017-08-28,3.050000,3.050000,2.900000,2.900000,2.671590,12200
2017-08-29,2.900000,3.150000,2.900000,3.100000,2.855838,14500
2017-08-30,3.100000,3.150000,3.100000,3.150000,2.901900,13700
2017-08-31,3.150000,3.150000,3.000000,3.100000,2.855838,22600
2017-09-01,3.150000,3.150000,3.050000,3.150000,2.901900,10600
2017-09-05,3.150000,3.150000,3.100000,3.150000,2.901900,5800
2017-09-06,3.100000,3.150000,3.100000,3.150000,2.901900,2200
2017-09-07,3.100000,3.150000,3.070000,3.100000,2.855838,14600
2017-09-08,3.150000,3.150000,3.100000,3.100000,2.855838,900
2017-09-11,3.100000,3.150000,3.100000,3.100000,2.855838,5900
2017-09-12,3.100000,3.150000,3.100000,3.150000,2.901900,3300
2017-09-13,3.100000,3.150000,3.050000,3.150000,2.901900,8600
2017-09-14,3.100000,3.100000,3.050000,3.050000,2.809776,4300
2017-09-15,3.050000,3.100000,3.010000,3.100000,2.855838,3500
2017-09-18,3.100000,3.100000,3.000000,3.000000,2.763714,3600
2017-09-19,3.050000,3.050000,3.000000,3.000000,2.763714,2000
2017-09-20,3.030000,3.050000,2.890000,2.900000,2.671590,17000
2017-09-21,2.950000,2.950000,2.930000,2.950000,2.717652,1600
2017-09-22,3.000000,3.000000,3.000000,3.000000,2.763714,400
2017-09-25,3.000000,3.000000,2.850000,2.900000,2.671590,2100
2017-09-26,2.900000,2.900000,2.900000,2.900000,2.671590,4700
2017-09-27,2.850000,2.950000,2.800000,2.800000,2.579466,35000
2017-09-28,2.800000,2.900000,2.800000,2.850000,2.625529,73800
2017-09-29,2.960000,3.050000,2.950000,3.050000,2.809776,7500
2017-10-02,3.100000,3.400000,3.100000,3.150000,2.901900,56400
2017-10-03,3.150000,3.250000,3.150000,3.200000,2.947962,14100
2017-10-04,3.200000,3.500000,3.200000,3.500000,3.224333,39800
2017-10-05,3.500000,3.500000,3.400000,3.460000,3.187484,8700
2017-10-06,3.450000,3.500000,3.250000,3.450000,3.178271,5200
2017-10-09,3.400000,3.400000,3.350000,3.350000,3.086148,5200
2017-10-10,3.400000,3.400000,3.350000,3.350000,3.086148,2300
2017-10-11,3.400000,3.450000,3.350000,3.430000,3.159847,4400
2017-10-12,3.350000,3.450000,3.350000,3.350000,3.086148,13100
2017-10-13,3.400000,3.400000,3.350000,3.400000,3.132209,1200
2017-10-16,3.400000,3.450000,3.350000,3.350000,3.086148,5000
2017-10-17,3.400000,3.400000,3.200000,3.250000,2.994024,57900
2017-10-18,3.250000,3.350000,3.250000,3.350000,3.086148,1600
2017-10-19,3.400000,3.450000,3.330000,3.450000,3.178271,2900
2017-10-20,3.450000,3.450000,3.400000,3.400000,3.132209,2100
2017-10-23,3.450000,3.450000,3.350000,3.350000,3.086148,11100
2017-10-24,3.400000,3.450000,3.350000,3.450000,3.178271,4400
2017-10-25,3.450000,3.450000,3.450000,3.450000,3.178271,1300
2017-10-26,3.450000,3.450000,3.420000,3.450000,3.178271,2900
2017-10-27,3.420000,3.450000,3.400000,3.450000,3.178271,1300
2017-10-30,3.400000,3.450000,3.400000,3.400000,3.132209,1200
2017-10-31,3.400000,3.400000,3.300000,3.300000,3.040085,1500
2017-11-01,3.350000,3.350000,3.300000,3.300000,3.040085,200
2017-11-02,3.350000,3.350000,3.300000,3.300000,3.040085,4900
2017-11-03,3.300000,3.350000,3.250000,3.300000,3.040085,8700
2017-11-06,3.300000,3.300000,3.250000,3.300000,3.040085,1500
2017-11-07,3.270000,3.300000,3.250000,3.300000,3.040085,1000
2017-11-08,3.250000,3.300000,3.250000,3.280000,3.021661,3900
2017-11-09,3.250000,3.260000,3.100000,3.100000,2.855838,17800
2017-11-10,3.100000,3.130000,2.950000,2.950000,2.717652,3100
2017-11-13,2.900000,2.940000,2.750000,2.850000,2.625529,33300
2017-11-14,3.450000,3.550000,3.100000,3.350000,3.086148,134100
2017-11-15,3.400000,3.530000,3.250000,3.300000,3.040085,29600
2017-11-16,3.300000,3.450000,3.230000,3.250000,2.994024,26500
2017-11-17,3.230000,3.300000,3.230000,3.300000,3.040085,6200
2017-11-20,3.250000,3.350000,3.250000,3.350000,3.086148,7200
2017-11-21,3.350000,3.450000,3.300000,3.300000,3.040085,5000
2017-11-22,3.350000,3.460000,3.330000,3.450000,3.178271,21600
2017-11-24,3.500000,3.550000,3.450000,3.550000,3.270395,12300
2017-11-27,3.550000,3.550000,3.350000,3.350000,3.086148,5100
2017-11-28,3.350000,3.450000,3.350000,3.400000,3.132209,4300
2017-11-29,3.400000,3.400000,3.300000,3.300000,3.040085,7400
2017-11-30,3.400000,3.400000,3.200000,3.300000,3.040085,1400
2017-12-01,3.350000,3.400000,3.250000,3.330000,3.067722,3900
2017-12-04,3.330000,3.330000,3.220000,3.220000,2.966386,3700
2017-12-05,3.300000,3.300000,3.200000,3.250000,2.994024,2700
2017-12-06,3.190000,3.250000,3.180000,3.200000,2.947962,4300
2017-12-07,3.200000,3.250000,3.170000,3.200000,2.947962,4400
2017-12-08,3.200000,3.250000,3.170000,3.200000,2.947962,5400
2017-12-11,3.210000,3.250000,3.210000,3.250000,2.994024,2000
2017-12-12,3.200000,3.250000,3.200000,3.250000,2.994024,3000
2017-12-13,3.250000,3.250000,3.200000,3.200000,2.947962,11000
2017-12-14,3.200000,3.200000,3.150000,3.150000,2.901900,6100
2017-12-15,3.200000,3.200000,3.100000,3.100000,2.855838,13200
2017-12-18,3.150000,3.200000,3.100000,3.100000,2.855838,19600
2017-12-19,3.110000,3.200000,3.100000,3.160000,2.911112,10800
2017-12-20,3.120000,3.200000,3.080000,3.200000,2.947962,9800
