Date,Open,High,Low,Close,Adj Close,Volume
2017-03-20,23.360001,23.400000,23.250000,23.270000,19.382080,2252400
2017-03-21,23.500000,23.559999,23.049999,23.090000,19.232151,3393100
2017-03-22,22.969999,23.190001,22.910000,23.170000,19.298786,2781300
2017-03-23,23.170000,23.440001,23.139999,23.309999,19.415394,1971800
2017-03-24,23.240000,23.410000,23.230000,23.280001,19.390409,1347200
2017-03-27,23.200001,23.400000,23.110001,23.370001,19.465372,2416800
2017-03-28,23.400000,23.540001,23.379999,23.440001,19.523674,1384700
2017-03-29,23.350000,23.370001,23.260000,23.360001,19.457041,1117800
2017-03-30,23.299999,23.450001,23.290001,23.340000,19.440382,1303100
2017-03-31,23.260000,23.469999,23.240000,23.400000,19.490358,1548500
2017-04-03,23.330000,23.370001,23.120001,23.240000,19.357090,3617200
2017-04-04,23.260000,23.459999,23.219999,23.459999,19.540333,2397700
2017-04-05,23.280001,23.440001,23.059999,23.070000,19.215492,2976300
2017-04-06,23.389999,23.440001,23.290001,23.309999,19.415394,1963000
2017-04-07,23.240000,23.430000,23.219999,23.290001,19.398737,1023300
2017-04-10,23.190001,23.219999,23.059999,23.090000,19.232151,2197000
2017-04-11,22.940001,23.070000,22.830000,23.059999,19.207165,2163000
2017-04-12,22.950001,22.969999,22.830000,22.910000,19.082228,1738100
2017-04-13,22.910000,22.940001,22.620001,22.629999,18.849007,2289600
2017-04-17,22.600000,22.870001,22.600000,22.850000,19.032253,1566400
2017-04-18,22.100000,22.270000,22.040001,22.190001,19.120642,1486000
2017-04-19,22.260000,22.360001,22.230000,22.270000,19.189577,6245900
2017-04-20,22.639999,22.969999,22.620001,22.930000,19.758286,5374300
2017-04-21,23.110001,23.370001,23.080000,23.320000,20.094337,4141300
2017-04-24,23.850000,23.969999,23.790001,23.930000,20.619963,2907600
2017-04-25,23.980000,24.309999,23.969999,24.240000,20.887083,3210000
2017-04-26,24.270000,24.420000,24.230000,24.230000,20.878464,2838800
2017-04-27,24.480000,24.580000,24.410000,24.530001,21.136971,2648700
2017-04-28,24.510000,24.629999,24.500000,24.600000,21.197289,2607000
2017-05-01,24.610001,24.690001,24.520000,24.570000,21.171434,1174100
2017-05-02,24.590000,24.709999,24.540001,24.700001,21.283457,1654300
2017-05-03,24.620001,24.680000,24.490000,24.610001,21.205904,1607500
2017-05-04,24.610001,24.809999,24.590000,24.790001,21.361008,2488800
2017-05-05,24.610001,24.920000,24.600000,24.910000,21.464409,1930300
2017-05-08,24.540001,24.639999,24.490000,24.629999,21.223137,2693400
2017-05-09,24.650000,24.700001,24.510000,24.559999,21.162819,1670700
2017-05-10,24.590000,24.680000,24.540001,24.670000,21.257605,3156500
2017-05-11,24.610001,24.680000,24.500000,24.670000,21.257605,1912600
2017-05-12,24.510000,24.760000,24.510000,24.750000,21.326540,2412400
2017-05-15,24.750000,24.840000,24.730000,24.780001,21.352392,1369900
2017-05-16,25.180000,25.200001,25.059999,25.180000,21.697062,1877900
2017-05-17,24.830000,24.920000,24.690001,24.700001,21.283457,1811900
2017-05-18,24.469999,24.740000,24.459999,24.670000,21.257605,1864600
2017-05-19,24.920000,25.150000,24.920000,25.080000,21.610893,1505900
2017-05-22,25.100000,25.190001,25.010000,25.040001,21.576426,1383100
2017-05-23,24.920000,25.030001,24.809999,24.850000,21.412708,1392200
2017-05-24,24.920000,25.080000,24.889999,24.969999,21.516109,1228200
