Date,Open,High,Low,Close,Adj Close,Volume
2017-03-20,47.450001,47.950001,46.849998,47.349998,44.301525,180800
2017-03-21,47.500000,47.549999,44.250000,44.529999,41.663074,393400
2017-03-22,44.000000,44.500000,42.700001,43.349998,40.559036,306400
2017-03-23,43.049999,44.099998,43.049999,43.500000,40.699387,200400
2017-03-24,43.549999,44.650002,43.150002,44.500000,41.634998,305700
2017-03-27,43.599998,44.700001,42.950001,44.650002,41.775352,238200
2017-03-28,44.349998,45.099998,44.049999,44.849998,41.962467,196500
2017-03-29,44.700001,44.700001,43.950001,44.400002,41.634285,197000
2017-03-30,44.500000,46.599998,44.500000,46.400002,43.509686,215400
2017-03-31,46.299999,46.650002,44.049999,46.099998,43.228367,485000
2017-04-03,46.099998,46.200001,44.450001,45.099998,42.290668,209600
2017-04-04,44.900002,45.549999,44.169998,45.349998,42.525089,198400
2017-04-05,45.750000,46.000000,44.150002,44.200001,41.446728,210500
2017-04-06,44.200001,46.150002,43.900002,44.700001,41.915585,119500
2017-04-07,44.349998,44.900002,44.099998,44.349998,41.587387,188300
2017-04-10,44.500000,45.049999,44.270000,44.650002,41.868694,182600
2017-04-11,44.400002,45.049999,44.099998,44.900002,42.103134,82900
2017-04-12,44.650002,44.799999,43.950001,44.000000,41.259193,90500
2017-04-13,43.700001,44.400002,43.150002,43.200001,40.509010,184500
2017-04-17,43.349998,43.900002,42.650002,43.849998,41.118526,131300
2017-04-18,43.500000,44.150002,43.000000,43.599998,40.884102,192400
2017-04-19,43.900002,44.700001,43.900002,44.549999,41.774921,135900
2017-04-20,44.900002,45.799999,44.650002,45.750000,42.900181,155900
2017-04-21,46.000000,46.950001,45.150002,46.299999,43.415924,301100
2017-04-24,47.450001,47.900002,47.000000,47.450001,44.494282,260000
2017-04-25,47.900002,48.450001,47.250000,47.500000,44.541180,174000
2017-04-26,48.500000,49.450001,48.450001,49.200001,46.135277,390200
2017-04-27,49.250000,49.250000,48.200001,48.250000,45.244450,135900
2017-04-28,48.400002,48.450001,47.049999,47.099998,44.166088,121000
2017-05-01,47.549999,47.950001,46.849998,47.349998,44.400505,161100
2017-05-02,47.450001,47.549999,46.650002,46.799999,43.884773,213600
2017-05-03,46.450001,47.049999,45.950001,46.900002,43.978554,171000
2017-05-04,47.299999,47.950001,46.849998,47.150002,44.212975,143600
2017-05-05,47.349998,47.349998,46.549999,47.000000,44.072308,91400
2017-05-08,46.900002,47.299999,46.650002,47.150002,44.212975,104200
2017-05-09,47.200001,47.500000,46.450001,46.700001,43.791008,117600
2017-05-10,46.400002,47.029999,46.299999,46.599998,43.697227,93800
2017-05-11,46.299999,47.200001,45.099998,45.200001,42.384445,185900
2017-05-12,44.900002,45.000000,44.049999,44.650002,41.868694,219700
2017-05-15,44.799999,45.450001,44.349998,45.400002,42.571987,228000
2017-05-16,45.349998,46.000000,44.799999,45.950001,43.087715,160300
2017-05-17,44.599998,45.049999,43.529999,43.650002,40.930992,166900
2017-05-18,43.500000,44.349998,43.049999,43.950001,41.212311,152000
2017-05-19,44.000000,45.150002,43.849998,43.950001,41.212311,303300
2017-05-22,43.619999,44.650002,43.619999,44.400002,41.634285,90500
2017-05-23,44.400002,45.599998,44.029999,45.250000,42.431324,197700
2017-05-24,45.400002,46.250000,45.000000,45.250000,42.431324,140800
2017-05-25,45.450001,45.650002,44.849998,45.099998,42.290668,109500
2017-05-26,45.200001,45.200001,44.630001,44.750000,41.962463,84400
2017-05-30,44.549999,44.549999,43.700001,43.950001,41.212311,75900
2017-05-31,44.150002,44.150002,42.599998,43.349998,40.649677,225300
2017-06-01,43.700001,44.099998,43.000000,44.049999,41.306068,142600
2017-06-02,43.799999,44.900002,43.599998,44.200001,41.446728,189000
2017-06-05,44.250000,44.599998,43.849998,44.049999,41.306068,157000
2017-06-06,43.599998,43.950001,42.900002,43.900002,41.165417,287500
2017-06-07,43.950001,44.799999,43.900002,44.599998,41.821823,159900
2017-06-08,44.599998,46.900002,44.400002,46.150002,43.275257,217000
2017-06-09,46.599998,49.299999,46.349998,49.250000,46.182159,293600
2017-06-12,49.250000,49.799999,47.849998,48.400002,45.385105,211900
2017-06-13,48.549999,48.950001,47.900002,48.200001,45.197559,186300
2017-06-14,47.750000,48.250000,47.000000,48.200001,45.197559,122200
2017-06-15,47.650002,48.799999,47.650002,48.400002,45.385105,74800
2017-06-16,48.099998,48.400002,47.599998,47.799999,44.822479,291800
2017-06-19,48.000000,48.430000,47.400002,47.549999,44.588058,93200
2017-06-20,47.349998,47.750000,46.799999,47.049999,44.119194,78100
2017-06-21,47.200001,47.349998,46.400002,46.400002,43.509686,80900
2017-06-22,46.299999,46.349998,45.509998,46.099998,43.228367,88000
2017-06-23,46.150002,46.450001,45.650002,46.400002,43.509686,277700
2017-06-26,46.450001,46.849998,45.900002,46.349998,43.462799,78500
2017-06-27,46.599998,47.400002,46.349998,47.049999,44.119194,134000
2017-06-28,47.299999,48.700001,47.299999,48.150002,45.246845,248100
