Date,Open,High,Low,Close,Adj Close,Volume
2017-03-20,5.520000,5.740000,5.500000,5.710000,4.908532,20566400
2017-03-21,5.710000,5.710000,5.590000,5.590000,4.805376,15999400
2017-03-22,5.570000,5.610000,5.510000,5.530000,4.753798,13666600
2017-03-23,5.520000,5.570000,5.500000,5.530000,4.753798,22608400
2017-03-24,5.560000,5.620000,5.530000,5.610000,4.822568,16710800
2017-03-27,5.560000,5.640000,5.550000,5.630000,4.839761,12478200
2017-03-28,5.650000,5.690000,5.630000,5.670000,4.874147,9531400
2017-03-29,5.670000,5.780000,5.670000,5.770000,4.960111,12340000
2017-03-30,5.740000,5.820000,5.720000,5.790000,4.977304,20688500
2017-03-31,5.750000,5.820000,5.700000,5.760000,4.951514,19543100
2017-04-03,5.790000,5.810000,5.740000,5.770000,4.960111,11307100
2017-04-04,5.710000,5.790000,5.690000,5.780000,4.968707,8740100
2017-04-05,5.790000,5.820000,5.680000,5.720000,4.917129,15536900
2017-04-06,5.670000,5.760000,5.630000,5.650000,4.856954,17067500
2017-04-07,5.720000,5.760000,5.670000,5.690000,4.891340,11340800
2017-04-10,5.710000,5.740000,5.650000,5.710000,4.908532,11469800
2017-04-11,5.600000,5.620000,5.500000,5.570000,4.788183,21247700
2017-04-12,5.600000,5.630000,5.550000,5.630000,4.839761,16931800
2017-04-13,5.600000,5.660000,5.590000,5.620000,4.831165,14517100
2017-04-17,5.680000,5.810000,5.670000,5.800000,4.985900,12745300
2017-04-18,5.790000,5.860000,5.780000,5.790000,4.977304,14985800
2017-04-19,5.760000,5.780000,5.700000,5.710000,4.908532,13246000
2017-04-20,5.690000,5.760000,5.620000,5.620000,4.831165,31504800
2017-04-21,5.650000,5.700000,5.590000,5.640000,4.848358,19450600
2017-04-24,5.730000,5.790000,5.700000,5.700000,4.899936,19057100
2017-04-25,5.660000,5.810000,5.650000,5.780000,4.968707,28765800
2017-04-26,5.720000,5.730000,5.620000,5.680000,4.882743,28586800
2017-04-27,5.690000,5.710000,5.620000,5.680000,4.882743,24408500
2017-04-28,5.630000,5.750000,5.630000,5.730000,4.925725,25685900
2017-05-01,5.760000,5.820000,5.710000,5.770000,4.960111,22742200
2017-05-02,5.750000,5.870000,5.740000,5.860000,5.037478,30616300
2017-05-03,5.830000,5.880000,5.780000,5.840000,5.020285,28535000
2017-05-04,5.870000,6.020000,5.830000,5.940000,5.106249,63704900
2017-05-05,5.950000,5.970000,5.910000,5.920000,5.089056,26298700
2017-05-08,5.900000,5.910000,5.840000,5.880000,5.054671,25065200
2017-05-09,5.880000,5.970000,5.860000,5.940000,5.106249,29721600
2017-05-10,6.010000,6.070000,5.980000,6.020000,5.175020,24760100
2017-05-11,6.060000,6.190000,6.040000,6.150000,5.286773,55139400
2017-05-12,6.230000,6.300000,6.180000,6.260000,5.381334,32910300
2017-05-15,6.280000,6.350000,6.240000,6.330000,5.441508,48047900
2017-05-16,6.370000,6.390000,6.290000,6.360000,5.467297,28064900
2017-05-17,6.340000,6.360000,6.210000,6.230000,5.355544,29082100
2017-05-18,5.850000,6.000000,5.490000,5.500000,4.728008,79770400
2017-05-19,5.670000,5.670000,5.580000,5.660000,4.865550,46475100
2017-05-22,5.640000,5.710000,5.560000,5.630000,4.839761,37700200
2017-05-23,5.690000,5.780000,5.680000,5.760000,4.951514,23231600
2017-05-24,5.790000,5.800000,5.720000,5.740000,4.934321,27494900
2017-05-25,5.750000,5.780000,5.670000,5.720000,4.917129,20308700
2017-05-26,5.740000,5.820000,5.720000,5.770000,4.960111,14947200
2017-05-30,5.740000,5.760000,5.720000,5.720000,4.917129,36833000
2017-05-31,5.760000,5.790000,5.700000,5.710000,4.908532,44004300
2017-06-01,5.770000,5.770000,5.660000,5.660000,4.865550,68462700
2017-06-02,5.740000,5.750000,5.600000,5.670000,4.874147,83589900
2017-06-05,5.650000,5.730000,5.620000,5.720000,4.917129,37350200
2017-06-06,5.720000,5.810000,5.710000,5.770000,4.960111,27891700
2017-06-07,5.770000,5.820000,5.660000,5.690000,4.891340,41353300
2017-06-08,5.660000,5.670000,5.590000,5.630000,4.839761,28609500
2017-06-09,5.590000,5.600000,5.440000,5.470000,4.702219,30828300
2017-06-12,5.400000,5.450000,5.400000,5.430000,4.667833,24994500
2017-06-13,5.450000,5.530000,5.420000,5.520000,4.745201,20779600
2017-06-14,5.550000,5.580000,5.440000,5.500000,4.728008,31057500
2017-06-15,5.480000,5.490000,5.420000,5.450000,4.685026,13059900
2017-06-16,5.470000,5.470000,5.330000,5.340000,4.590466,77181000
2017-06-19,5.340000,5.430000,5.300000,5.400000,4.642045,35722900
2017-06-20,5.390000,5.470000,5.370000,5.380000,4.624852,67945100
2017-06-21,5.400000,5.460000,5.370000,5.420000,4.659237,38733100
2017-06-22,5.440000,5.470000,5.400000,5.430000,4.667833,27446100
2017-06-23,5.420000,5.470000,5.400000,5.440000,4.676430,20085700
2017-06-26,5.450000,5.540000,5.440000,5.490000,4.762580,37801900
2017-06-27,5.450000,5.510000,5.400000,5.460000,4.736556,41015700
2017-06-28,5.500000,5.570000,5.440000,5.520000,4.788605,25710700
2017-06-29,5.520000,5.530000,5.430000,5.470000,4.745230,28257700
2017-06-30,5.500000,5.550000,5.480000,5.490000,4.762580,21029900
2017-07-03,5.540000,5.560000,5.460000,5.470000,4.745230,12515800
2017-07-05,5.450000,5.520000,5.450000,5.490000,4.762580,36699300
2017-07-06,5.470000,5.480000,5.330000,5.340000,4.632455,37237200
2017-07-07,5.410000,5.500000,5.410000,5.450000,4.727880,26970400
2017-07-10,5.490000,5.610000,5.470000,5.590000,4.849330,37529400
2017-07-11,5.600000,5.700000,5.590000,5.640000,4.892706,40935900
2017-07-12,5.740000,5.800000,5.690000,5.780000,5.014156,25063300
2017-07-13,5.790000,5.800000,5.740000,5.760000,4.996806,10639900
2017-07-14,5.830000,5.870000,5.820000,5.850000,5.074881,8129900
