Date,Open,High,Low,Close,Adj Close,Volume
2017-03-20,3.450000,3.490000,3.250000,3.350000,3.350000,536000
2017-03-21,3.350000,3.400000,3.000000,3.200000,3.200000,564100
2017-03-22,3.100000,3.200000,3.060000,3.150000,3.150000,198100
2017-03-23,3.100000,3.200000,3.100000,3.150000,3.150000,88100
2017-03-24,3.150000,3.250000,3.150000,3.200000,3.200000,59500
2017-03-27,3.250000,3.300000,3.200000,3.250000,3.250000,117800
2017-03-28,3.250000,3.350000,3.200000,3.250000,3.250000,155700
2017-03-29,3.250000,3.350000,3.200000,3.300000,3.300000,207700
2017-03-30,3.350000,3.400000,3.300000,3.350000,3.350000,139800
2017-03-31,3.350000,3.350000,3.200000,3.250000,3.250000,371200
2017-04-03,3.300000,3.350000,3.250000,3.300000,3.300000,379500
2017-04-04,3.400000,3.490000,2.950000,3.250000,3.250000,350600
2017-04-05,3.300000,3.300000,3.240000,3.300000,3.300000,68700
2017-04-06,3.300000,3.350000,3.210000,3.250000,3.250000,114400
2017-04-07,3.300000,3.350000,3.200000,3.250000,3.250000,126900
2017-04-10,3.250000,3.300000,3.200000,3.300000,3.300000,69400
2017-04-11,3.250000,3.350000,3.200000,3.300000,3.300000,324400
2017-04-12,3.350000,3.400000,3.200000,3.300000,3.300000,369000
2017-04-13,3.300000,3.300000,3.200000,3.300000,3.300000,100000
2017-04-17,3.300000,3.350000,3.200000,3.300000,3.300000,228700
2017-04-18,3.300000,3.350000,3.250000,3.300000,3.300000,115800
2017-04-19,3.350000,3.350000,3.250000,3.300000,3.300000,90900
2017-04-20,3.300000,3.350000,3.250000,3.350000,3.350000,222800
2017-04-21,3.350000,3.430000,3.250000,3.350000,3.350000,187100
2017-04-24,3.400000,3.450000,3.250000,3.300000,3.300000,129000
2017-04-25,3.300000,3.400000,3.280000,3.350000,3.350000,192100
2017-04-26,3.350000,3.350000,3.250000,3.350000,3.350000,165600
2017-04-27,3.350000,3.350000,3.250000,3.350000,3.350000,156100
2017-04-28,3.300000,3.400000,3.250000,3.400000,3.400000,153700
2017-05-01,3.300000,3.350000,3.300000,3.350000,3.350000,45900
2017-05-02,3.350000,3.430000,3.280000,3.350000,3.350000,112000
2017-05-03,3.400000,3.400000,3.300000,3.380000,3.380000,61900
2017-05-04,3.350000,3.400000,3.250000,3.350000,3.350000,98400
2017-05-05,3.350000,3.350000,3.250000,3.300000,3.300000,120600
2017-05-08,3.300000,3.350000,3.250000,3.350000,3.350000,148000
2017-05-09,3.350000,3.400000,3.300000,3.350000,3.350000,184100
2017-05-10,3.300000,3.400000,3.200000,3.300000,3.300000,217900
2017-05-11,3.300000,3.450000,3.230000,3.450000,3.450000,339600
2017-05-12,3.400000,3.450000,3.330000,3.350000,3.350000,116900
2017-05-15,3.350000,3.450000,3.300000,3.300000,3.300000,121500
2017-05-16,3.350000,3.350000,3.250000,3.350000,3.350000,180200
2017-05-17,3.300000,3.450000,3.250000,3.450000,3.450000,1835100
2017-05-18,3.400000,3.650000,3.380000,3.650000,3.650000,328000
2017-05-19,3.700000,3.830000,3.650000,3.800000,3.800000,228300
2017-05-22,3.850000,3.850000,3.550000,3.650000,3.650000,156100
2017-05-23,3.600000,3.650000,3.550000,3.650000,3.650000,43000
2017-05-24,3.650000,3.700000,3.600000,3.650000,3.650000,33900
2017-05-25,3.650000,3.700000,3.500000,3.500000,3.500000,85600
2017-05-26,3.550000,3.550000,3.350000,3.350000,3.350000,108300
2017-05-30,3.400000,3.400000,3.250000,3.300000,3.300000,245400
2017-05-31,3.300000,3.400000,3.300000,3.400000,3.400000,117900
2017-06-01,3.400000,3.450000,3.350000,3.400000,3.400000,54400
2017-06-02,3.400000,3.450000,3.350000,3.450000,3.450000,70400
2017-06-05,3.450000,3.450000,3.350000,3.350000,3.350000,23300
2017-06-06,3.350000,3.450000,3.300000,3.400000,3.400000,388900
2017-06-07,3.400000,3.500000,3.360000,3.450000,3.450000,212800
2017-06-08,3.500000,3.650000,3.400000,3.600000,3.600000,622400
2017-06-09,3.600000,3.600000,3.500000,3.550000,3.550000,191800
2017-06-12,3.500000,3.600000,3.460000,3.500000,3.500000,38300
2017-06-13,3.500000,3.650000,3.450000,3.600000,3.600000,239900
2017-06-14,3.600000,3.680000,3.500000,3.500000,3.500000,135100
2017-06-15,3.500000,3.600000,3.300000,3.450000,3.450000,172500
2017-06-16,3.450000,3.600000,3.350000,3.600000,3.600000,78200
2017-06-19,3.600000,3.600000,3.500000,3.550000,3.550000,32200
2017-06-20,3.550000,3.600000,3.550000,3.550000,3.550000,41500
2017-06-21,3.600000,3.700000,3.550000,3.700000,3.700000,180900
2017-06-22,3.700000,3.850000,3.680000,3.750000,3.750000,196500
2017-06-23,3.800000,3.850000,3.730000,3.800000,3.800000,53200
2017-06-26,3.750000,3.850000,3.690000,3.700000,3.700000,67300
2017-06-27,3.700000,3.840000,3.400000,3.500000,3.500000,224700
2017-06-28,3.500000,3.750000,3.470000,3.600000,3.600000,108000
2017-06-29,3.600000,3.700000,3.550000,3.650000,3.650000,27800
2017-06-30,3.650000,3.700000,3.600000,3.600000,3.600000,24200
2017-07-03,3.600000,3.700000,3.600000,3.650000,3.650000,36000
2017-07-05,3.700000,3.750000,3.600000,3.750000,3.750000,118100
2017-07-06,3.750000,3.850000,3.700000,3.800000,3.800000,71400
2017-07-07,3.800000,3.950000,3.750000,3.800000,3.800000,90800
2017-07-10,3.750000,3.770000,3.600000,3.600000,3.600000,71600
2017-07-11,3.650000,3.750000,3.550000,3.700000,3.700000,67100
2017-07-12,3.700000,3.800000,3.660000,3.780000,3.780000,43300
2017-07-13,3.750000,3.850000,3.680000,3.800000,3.800000,50500
2017-07-14,3.800000,3.850000,3.780000,3.850000,3.850000,27000
2017-07-17,3.800000,4.000000,3.800000,3.800000,3.800000,120100
2017-07-18,3.800000,3.800000,3.650000,3.800000,3.800000,44000
2017-07-19,3.750000,3.900000,3.740000,3.800000,3.800000,43300
2017-07-20,3.800000,3.900000,3.780000,3.800000,3.800000,39300
2017-07-21,3.750000,3.850000,3.750000,3.800000,3.800000,83400
2017-07-24,3.750000,3.800000,3.700000,3.750000,3.750000,37600
2017-07-25,3.750000,3.750000,3.700000,3.700000,3.700000,21900
2017-07-26,3.700000,3.750000,3.650000,3.750000,3.750000,116600
2017-07-27,3.700000,3.700000,3.400000,3.500000,3.500000,170100
2017-07-28,3.450000,3.500000,3.400000,3.400000,3.400000,36900
2017-07-31,3.400000,3.550000,3.400000,3.450000,3.450000,44800
2017-08-01,3.400000,3.750000,3.400000,3.650000,3.650000,66300
2017-08-02,3.610000,3.630000,3.400000,3.600000,3.600000,69900
2017-08-03,3.550000,3.600000,3.400000,3.400000,3.400000,16200
2017-08-04,3.400000,3.450000,3.200000,3.450000,3.450000,99000
2017-08-07,3.400000,3.550000,3.370000,3.550000,3.550000,34900
2017-08-08,3.500000,3.650000,3.500000,3.650000,3.650000,42500
2017-08-09,3.600000,3.700000,3.500000,3.700000,3.700000,107500
2017-08-10,3.650000,3.650000,3.500000,3.550000,3.550000,65000
