Date,Open,High,Low,Close,Adj Close,Volume
2017-03-20,47.410000,47.500000,47.110001,47.310001,38.179489,257500
2017-03-21,47.470001,47.509998,47.070000,47.200001,38.090721,487400
2017-03-22,47.410000,47.680000,46.790001,47.669998,38.470013,1113900
2017-03-23,47.660000,48.509998,47.369999,47.959999,38.704044,715300
2017-03-24,47.990002,48.490002,47.980000,48.070000,38.792812,484900
2017-03-27,47.840000,48.299999,47.080002,47.250000,38.131073,614000
2017-03-28,47.250000,47.590000,46.889999,47.549999,38.373177,505700
2017-03-29,47.450001,47.740002,47.070000,47.380001,38.235992,514700
2017-03-30,47.360001,47.459999,46.930000,47.459999,38.300545,286800
2017-03-31,47.369999,47.810001,47.230000,47.590000,38.405457,464200
2017-04-03,47.570000,48.070000,47.500000,47.799999,38.574928,653300
2017-04-04,47.630001,48.400002,47.540001,48.029999,38.760536,698000
2017-04-05,48.119999,48.369999,47.549999,47.919998,38.671768,672500
2017-04-06,47.919998,48.209999,47.619999,48.099998,38.817024,473900
2017-04-07,48.130001,48.180000,47.669998,47.770000,38.550720,368400
2017-04-10,47.730000,47.910000,47.439999,47.750000,38.534569,533200
2017-04-11,47.799999,48.139999,47.630001,47.959999,38.704044,804300
2017-04-12,47.990002,48.369999,47.869999,48.189999,38.889656,710200
2017-04-13,48.209999,48.470001,47.880001,48.000000,38.736328,445800
2017-04-17,48.169998,49.090000,48.169998,49.090000,39.615967,471400
2017-04-18,49.060001,49.349998,48.799999,49.330002,39.809647,479500
2017-04-19,49.349998,49.520000,49.139999,49.500000,39.946831,456200
2017-04-20,49.509998,49.650002,49.049999,49.630001,40.051743,386800
2017-04-21,49.520000,49.820000,49.410000,49.599998,40.027542,338300
2017-04-24,49.869999,49.930000,48.990002,49.299999,39.785439,883000
2017-04-25,49.220001,49.860001,48.400002,48.490002,39.131763,1013500
2017-04-26,48.330002,48.360001,47.230000,47.250000,38.131073,816000
2017-04-27,47.250000,47.680000,47.049999,47.680000,38.478085,620600
2017-04-28,47.599998,47.700001,47.160000,47.389999,38.244049,476200
2017-05-01,47.509998,47.799999,47.110001,47.490002,38.324745,516500
2017-05-02,47.500000,47.730000,46.790001,47.049999,37.969666,443100
2017-05-03,47.200001,47.200001,46.320000,46.500000,37.525818,309000
2017-05-04,46.259998,46.650002,45.860001,46.610001,37.614586,465200
2017-05-05,46.660000,47.160000,46.509998,46.799999,37.767918,817900
2017-05-08,46.869999,47.009998,45.500000,46.070000,37.178795,2037900
2017-05-09,46.119999,46.119999,45.240002,45.419998,36.654251,953800
2017-05-10,45.389999,45.930000,45.340000,45.709999,36.888287,797200
2017-05-11,45.150002,45.320000,44.720001,45.220001,36.847538,618800
