Date,Open,High,Low,Close,Adj Close,Volume
2021-12-31,9.800000,9.850000,9.800000,9.850000,9.850000,200
2022-01-03,9.900000,9.920000,9.870000,9.880000,9.880000,53200
2022-01-04,9.930000,9.930000,9.900000,9.915000,9.915000,18600
2022-01-05,10.000000,10.000000,9.900000,9.920000,9.920000,122200
2022-01-06,9.920000,9.920000,9.920000,9.920000,9.920000,0
2022-01-07,9.890000,9.900000,9.890000,9.900000,9.900000,800
2022-01-10,9.950000,9.950000,9.950000,9.950000,9.950000,100
2022-01-11,9.950000,9.950000,9.950000,9.950000,9.950000,0
2022-01-12,9.950000,9.950000,9.950000,9.950000,9.950000,0
2022-01-13,9.920000,9.920000,9.920000,9.920000,9.920000,1400
2022-01-14,9.920000,9.920000,9.920000,9.920000,9.920000,0
2022-01-18,9.930000,9.930000,9.930000,9.930000,9.930000,200
2022-01-19,9.930000,9.930000,9.930000,9.930000,9.930000,0
2022-01-20,9.930000,9.930000,9.930000,9.930000,9.930000,0
2022-01-21,9.900000,9.900000,9.900000,9.900000,9.900000,100
2022-01-24,9.910000,9.910000,9.900000,9.900000,9.900000,23100
2022-01-25,9.890000,9.900000,9.890000,9.900000,9.900000,2300
2022-01-26,9.900000,9.900000,9.900000,9.900000,9.900000,0
2022-01-27,9.900000,9.900000,9.900000,9.900000,9.900000,43900
2022-01-28,9.900000,9.900000,9.900000,9.900000,9.900000,0
2022-01-31,9.930000,9.930000,9.900000,9.900000,9.900000,4000
2022-02-01,10.400000,10.400000,9.890000,9.930000,9.930000,9100
2022-02-02,9.910000,9.910000,9.890000,9.910000,9.910000,210700
2022-02-03,9.950000,9.950000,9.950000,9.950000,9.950000,2900
2022-02-04,9.950000,9.950000,9.950000,9.950000,9.950000,0
2022-02-07,9.900000,9.900000,9.900000,9.900000,9.900000,300
2022-02-08,9.950000,9.960000,9.950000,9.960000,9.960000,1000
2022-02-09,9.960000,9.960000,9.960000,9.960000,9.960000,0
2022-02-10,9.960000,9.960000,9.960000,9.960000,9.960000,400
2022-02-11,9.920000,9.920000,9.920000,9.920000,9.920000,29100
2022-02-14,9.920000,9.920000,9.910000,9.910000,9.910000,3500
2022-02-15,9.910000,9.910000,9.910000,9.910000,9.910000,0
2022-02-16,9.910000,9.910000,9.910000,9.910000,9.910000,1000
2022-02-17,9.910000,9.910000,9.910000,9.910000,9.910000,0
2022-02-18,9.910000,9.910000,9.910000,9.910000,9.910000,0
2022-02-22,9.930000,9.950000,9.930000,9.950000,9.950000,100000
2022-02-23,9.940000,9.940000,9.940000,9.940000,9.940000,7100
2022-02-24,9.940000,9.940000,9.940000,9.940000,9.940000,200
2022-02-25,9.940000,9.950000,9.940000,9.940000,9.940000,300300
2022-02-28,9.940000,9.940000,9.940000,9.940000,9.940000,0
2022-03-01,9.960000,9.970000,9.960000,9.960000,9.960000,44000
2022-03-02,9.960000,9.960000,9.960000,9.960000,9.960000,0
2022-03-03,9.960000,9.960000,9.950000,9.950000,9.950000,195600
2022-03-04,9.980000,9.980000,9.980000,9.980000,9.980000,200
2022-03-07,9.960000,9.960000,9.960000,9.960000,9.960000,209000
2022-03-08,9.960000,9.960000,9.960000,9.960000,9.960000,0
2022-03-09,9.960000,9.960000,9.960000,9.960000,9.960000,0
2022-03-10,9.950000,9.950000,9.950000,9.950000,9.950000,100
2022-03-11,9.960000,9.960000,9.945000,9.945000,9.945000,235600
2022-03-14,9.965000,9.965000,9.960000,9.960000,9.960000,28600
2022-03-15,9.965000,9.965000,9.965000,9.965000,9.965000,423300
2022-03-16,9.960000,9.970000,9.960000,9.970000,9.970000,24000
2022-03-17,9.970000,9.970000,9.970000,9.970000,9.970000,0
2022-03-18,9.970000,9.970000,9.970000,9.970000,9.970000,0
