Date,Open,High,Low,Close,Adj Close,Volume
2017-03-20,9.062500,9.062500,8.750000,8.854167,8.854167,7834
2017-03-21,8.854167,9.166667,8.750000,8.750000,8.750000,3677
2017-03-22,8.645833,8.854167,8.541667,8.541667,8.541667,3581
2017-03-23,8.333333,8.645833,8.333333,8.437500,8.437500,6240
2017-03-24,8.333333,8.333333,7.812500,8.020833,8.020833,12902
2017-03-27,8.020833,8.333333,7.708333,8.229167,8.229167,18931
2017-03-28,8.333333,8.958333,8.229167,8.750000,8.750000,17462
2017-03-29,8.020833,8.437500,7.812500,8.125000,8.125000,19248
2017-03-30,8.541667,8.541667,7.812500,8.020833,8.020833,7133
2017-03-31,7.812500,8.333333,7.812500,8.229167,8.229167,3859
2017-04-03,8.229167,8.229167,7.708333,8.020833,8.020833,3859
2017-04-04,8.020833,8.020833,7.708333,8.020833,8.020833,5616
2017-04-05,8.020833,8.020833,7.708333,7.812500,7.812500,4310
2017-04-06,7.708333,7.812500,7.291667,7.500000,7.500000,13651
2017-04-07,7.395833,7.395833,6.875000,7.187500,7.187500,9206
2017-04-10,7.083333,7.395833,6.979167,7.083333,7.083333,4022
2017-04-11,7.083333,7.291667,6.875000,6.875000,6.875000,4205
2017-04-12,6.875000,8.229167,6.875000,8.020833,8.020833,42912
2017-04-13,8.229167,8.333333,6.979167,7.291667,7.291667,15024
2017-04-17,6.979167,7.291667,6.979167,7.083333,7.083333,3082
2017-04-18,6.979167,7.083333,6.458333,6.562500,6.562500,10349
2017-04-19,6.666667,6.875000,6.562500,6.666667,6.666667,9658
2017-04-20,6.666667,7.187500,6.562500,6.770833,6.770833,4704
2017-04-21,6.666667,6.875000,6.562500,6.666667,6.666667,1440
2017-04-24,6.979167,7.395833,6.562500,6.979167,6.979167,17002
2017-04-25,6.875000,7.604167,6.562500,7.083333,7.083333,31747
2017-04-26,7.500000,7.812500,6.875000,7.395833,7.395833,3734
2017-04-27,7.083333,7.291667,6.979167,7.083333,7.083333,2064
2017-04-28,6.875000,7.187500,6.875000,7.083333,7.083333,1968
2017-05-01,6.979167,6.979167,6.875000,6.875000,6.875000,1526
2017-05-02,7.083333,7.187500,6.875000,6.979167,6.979167,2218
2017-05-03,6.979167,6.979167,6.666667,6.666667,6.666667,3264
2017-05-04,6.666667,6.875000,6.666667,6.666667,6.666667,2323
2017-05-05,6.666667,6.979167,5.937500,5.937500,5.937500,15974
2017-05-08,6.145833,6.250000,6.041667,6.145833,6.145833,1891
2017-05-09,6.562500,6.562500,6.250000,6.458333,6.458333,2371
2017-05-10,6.250000,6.666667,6.250000,6.458333,6.458333,2170
2017-05-11,6.250000,6.562500,6.145833,6.250000,6.250000,3686
2017-05-12,6.458333,6.458333,6.041667,6.041667,6.041667,3168
2017-05-15,6.250000,6.250000,6.041667,6.041667,6.041667,4944
2017-05-16,6.041667,7.083333,5.833333,6.770833,6.770833,14054
2017-05-17,6.666667,6.770833,6.250000,6.250000,6.250000,8966
2017-05-18,6.145833,6.458333,5.937500,5.937500,5.937500,3379
2017-05-19,5.937500,6.562500,5.937500,6.250000,6.250000,3514
2017-05-22,6.145833,7.083333,5.937500,6.979167,6.979167,22646
2017-05-23,7.291667,7.395833,6.666667,7.083333,7.083333,15734
2017-05-24,7.291667,7.291667,6.770833,6.979167,6.979167,6096
2017-05-25,6.979167,7.187500,6.770833,6.770833,6.770833,2928
2017-05-26,7.083333,7.187500,6.354167,6.875000,6.875000,6490
2017-05-30,6.875000,6.875000,6.145833,6.458333,6.458333,2554
2017-05-31,6.250000,6.458333,6.041667,6.041667,6.041667,2563
2017-06-01,6.145833,6.666667,6.145833,6.250000,6.250000,2899
2017-06-02,6.562500,6.562500,6.145833,6.250000,6.250000,4512
2017-06-05,6.250000,6.250000,6.041667,6.145833,6.145833,3514
2017-06-06,6.041667,6.250000,6.041667,6.041667,6.041667,1046
2017-06-07,6.145833,6.250000,5.937500,5.937500,5.937500,1171
2017-06-08,6.145833,6.250000,5.937500,6.145833,6.145833,778
2017-06-09,5.937500,6.250000,5.937500,6.145833,6.145833,1622
2017-06-12,5.937500,6.145833,5.937500,5.937500,5.937500,1795
2017-06-13,5.937500,6.250000,5.833333,6.250000,6.250000,2621
2017-06-14,6.250000,6.354167,5.833333,6.250000,6.250000,3782
2017-06-15,6.041667,6.770833,6.041667,6.145833,6.145833,2803
2017-06-16,6.145833,6.458333,6.041667,6.250000,6.250000,739
2017-06-19,6.250000,6.458333,6.250000,6.250000,6.250000,1181
2017-06-20,6.250000,6.458333,5.729167,6.145833,6.145833,6221
2017-06-21,6.354167,6.354167,5.937500,6.041667,6.041667,1805
2017-06-22,6.041667,6.250000,5.729167,5.937500,5.937500,3955
2017-06-23,6.250000,7.604167,5.833333,6.145833,6.145833,40704
2017-06-26,6.145833,6.666667,6.145833,6.145833,6.145833,13210
2017-06-27,6.458333,6.770833,6.354167,6.458333,6.458333,3197
2017-06-28,6.562500,7.500000,6.250000,6.875000,6.875000,32630
2017-06-29,7.395833,7.395833,6.770833,6.770833,6.770833,10262
2017-06-30,7.291667,7.291667,6.770833,6.770833,6.770833,8678
2017-07-03,10.729167,14.062500,10.416667,12.187500,12.187500,1110634
2017-07-05,13.541667,15.104167,9.791667,10.416667,10.416667,515808
2017-07-06,9.479167,9.687500,8.333333,9.062500,9.062500,115488
2017-07-07,9.062500,9.375000,6.562500,7.604167,7.604167,63187
2017-07-10,7.291667,8.541667,7.291667,8.125000,8.125000,56410
2017-07-11,8.541667,11.354167,8.437500,10.520833,10.520833,258691
2017-07-12,10.208333,10.416667,9.166667,9.270833,9.270833,48797
2017-07-13,8.958333,9.375000,8.541667,9.062500,9.062500,27725
2017-07-14,9.062500,9.062500,8.645833,8.854167,8.854167,13584
2017-07-17,8.854167,9.166667,8.750000,9.062500,9.062500,28877
2017-07-18,9.166667,9.166667,8.541667,8.854167,8.854167,27878
2017-07-19,8.854167,9.895833,8.854167,9.791667,9.791667,63005
2017-07-20,9.583333,9.895833,9.479167,9.583333,9.583333,17069
2017-07-21,9.375000,9.583333,9.270833,9.375000,9.375000,7910
2017-07-24,9.583333,9.583333,9.166667,9.270833,9.270833,9629
2017-07-25,9.166667,9.479167,8.958333,9.270833,9.270833,8400
2017-07-26,9.166667,9.375000,9.062500,9.270833,9.270833,7133
2017-07-27,9.270833,9.479167,9.062500,9.166667,9.166667,11040
2017-07-28,9.375000,9.687500,9.062500,9.270833,9.270833,16474
2017-07-31,9.687500,9.687500,9.062500,9.062500,9.062500,8621
2017-08-01,9.062500,9.895833,9.062500,9.479167,9.479167,11232
2017-08-02,9.270833,9.479167,9.166667,9.270833,9.270833,4224
2017-08-03,9.583333,9.687500,9.270833,9.479167,9.479167,16579
2017-08-04,9.375000,9.895833,9.270833,9.583333,9.583333,8544
2017-08-07,9.687500,9.687500,9.479167,9.687500,9.687500,8266
2017-08-08,9.479167,9.687500,9.166667,9.583333,9.583333,8467
2017-08-09,9.270833,9.270833,8.854167,8.854167,8.854167,11712
2017-08-10,8.854167,9.062500,8.333333,8.437500,8.437500,14755
2017-08-11,9.062500,9.062500,8.333333,8.437500,8.437500,14870
2017-08-14,8.854167,8.854167,8.229167,8.645833,8.645833,11203
2017-08-15,8.854167,8.854167,8.125000,8.229167,8.229167,4397
2017-08-16,8.229167,8.541667,7.812500,7.916667,7.916667,11366
2017-08-17,7.916667,8.020833,7.395833,7.916667,7.916667,6672
2017-08-18,7.812500,7.812500,7.500000,7.812500,7.812500,8352
2017-08-21,7.812500,8.854167,7.708333,8.229167,8.229167,12547
2017-08-22,8.333333,10.312500,8.125000,9.895833,9.895833,46685
2017-08-23,9.895833,11.979167,9.583333,10.104167,10.104167,134909
2017-08-24,10.104167,10.104167,9.166667,9.479167,9.479167,22205
2017-08-25,9.270833,9.479167,8.333333,8.541667,8.541667,10186
2017-08-28,8.750000,9.062500,8.541667,8.645833,8.645833,7094
2017-08-29,8.750000,8.750000,8.333333,8.541667,8.541667,8342
2017-08-30,8.437500,8.750000,8.333333,8.750000,8.750000,4838
2017-08-31,8.750000,9.166667,8.541667,8.958333,8.958333,6643
2017-09-01,9.270833,9.375000,8.750000,8.854167,8.854167,5165
2017-09-05,9.270833,9.270833,8.854167,9.166667,9.166667,8160
2017-09-06,9.062500,9.270833,8.854167,9.270833,9.270833,3821
2017-09-07,9.166667,10.104167,9.062500,9.791667,9.791667,19478
2017-09-08,10.104167,11.145833,9.791667,10.000000,10.000000,48854
2017-09-11,9.791667,10.208333,9.791667,10.208333,10.208333,12998
2017-09-12,10.520833,10.520833,9.895833,10.104167,10.104167,8448
2017-09-13,10.000000,10.416667,9.895833,10.208333,10.208333,6998
2017-09-14,10.416667,10.833333,10.000000,10.208333,10.208333,9552
2017-09-15,10.104167,10.625000,10.104167,10.625000,10.625000,18979
2017-09-18,10.416667,11.666667,10.416667,11.354167,11.354167,45245
2017-09-19,11.458333,11.770833,10.729167,11.145833,11.145833,36490
2017-09-20,11.979167,12.083333,10.000000,10.104167,10.104167,29501
2017-09-21,8.550000,10.300000,8.550000,9.810000,9.810000,11200
2017-09-22,10.000000,10.470000,9.490000,9.920000,9.920000,13800
2017-09-25,10.210000,11.200000,10.120000,11.000000,11.000000,38200
2017-09-26,11.100000,12.450000,11.010000,11.920000,11.920000,64900
2017-09-27,11.950000,13.000000,11.950000,12.990000,12.990000,61700
2017-09-28,13.000000,14.890000,13.000000,14.700000,14.700000,77800
2017-09-29,15.000000,22.629999,15.000000,18.670000,18.670000,146900
2017-10-02,18.700001,18.879999,15.120000,16.040001,16.040001,94700
2017-10-03,15.200000,15.390000,14.010000,14.900000,14.900000,43500
2017-10-04,14.900000,15.910000,14.900000,15.330000,15.330000,27000
2017-10-05,14.800000,15.250000,14.800000,15.150000,15.150000,16000
2017-10-06,15.000000,18.200001,14.600000,17.450001,17.450001,101300
2017-10-09,16.990000,17.650000,16.170000,17.650000,17.650000,31800
2017-10-10,17.799999,18.200001,16.650000,18.000000,18.000000,23800
