Date,Open,High,Low,Close,Adj Close,Volume
2021-03-29,10.000000,10.000000,9.800000,10.000000,10.000000,6700
2021-03-30,9.940000,9.965000,9.460000,9.660000,9.660000,10400
2021-03-31,9.900000,9.900000,9.730000,9.780000,9.780000,26500
2021-04-01,9.910000,9.910000,9.800000,9.800000,9.800000,37300
2021-04-05,10.000000,10.310000,9.961000,10.150000,10.150000,319200
2021-04-06,10.280000,10.280000,10.010000,10.130000,10.130000,163100
2021-04-07,10.200000,10.200000,10.050000,10.050000,10.050000,89200
2021-04-08,10.080000,10.140000,10.080000,10.105000,10.105000,68700
2021-04-09,10.300000,10.370000,9.930000,10.000000,10.000000,228800
2021-04-12,10.050000,10.100000,9.970000,10.030000,10.030000,85900
2021-04-13,10.100000,10.110000,10.020000,10.030000,10.030000,50100
2021-04-14,10.050000,10.100000,10.040000,10.065000,10.065000,185900
2021-04-15,10.080000,10.130000,10.050000,10.070000,10.070000,394700
2021-04-16,10.070000,10.170000,10.070000,10.090000,10.090000,65000
2021-04-19,10.100000,10.140000,10.050000,10.050000,10.050000,181200
2021-04-20,10.070000,10.080000,9.930000,9.970000,9.970000,188200
2021-04-21,10.000000,10.000000,9.910000,9.980000,9.980000,53800
2021-04-22,10.000000,10.040000,9.910000,9.960000,9.960000,49800
2021-04-23,9.950000,10.080000,9.950000,10.010000,10.010000,88900
2021-04-26,9.980000,9.980000,9.630000,9.820000,9.820000,268800
2021-04-27,9.750000,9.870000,9.750000,9.850000,9.850000,412400
2021-04-28,9.850000,9.890000,9.800000,9.870000,9.870000,104900
2021-04-29,9.810000,9.870000,9.810000,9.850000,9.850000,78200
2021-04-30,9.840000,9.850000,9.800000,9.810000,9.810000,31200
2021-05-03,9.830000,9.850000,9.810000,9.845000,9.845000,82800
2021-05-04,9.800000,9.840000,9.800000,9.810000,9.810000,178700
2021-05-05,9.820000,9.820000,9.810000,9.810000,9.810000,20100
2021-05-06,9.760000,9.870000,9.760000,9.810000,9.810000,350300
2021-05-07,9.810000,9.810000,9.790000,9.810000,9.810000,26700
2021-05-10,9.760000,9.810000,9.760000,9.800000,9.800000,58000
2021-05-11,9.710000,9.790000,9.710000,9.780000,9.780000,52900
2021-05-12,9.720000,9.830000,9.710000,9.790000,9.790000,153300
2021-05-13,9.790000,9.810000,9.763000,9.790000,9.790000,29300
2021-05-14,9.790000,9.790000,9.760000,9.760000,9.760000,61200
2021-05-17,9.720000,9.760000,9.710000,9.725000,9.725000,58700
2021-05-18,9.752000,9.752000,9.680000,9.720000,9.720000,79000
2021-05-19,9.700000,9.750000,9.700000,9.740000,9.740000,19500
2021-05-20,9.710000,9.720000,9.700000,9.710000,9.710000,13600
2021-05-21,9.700000,9.720000,9.700000,9.700000,9.700000,19900
2021-05-24,9.700000,9.750000,9.700000,9.750000,9.750000,78000
2021-05-25,9.750000,9.760000,9.720000,9.750000,9.750000,24900
2021-05-26,9.759000,9.760000,9.740000,9.760000,9.760000,18400
2021-05-27,9.770000,9.770000,9.740000,9.760000,9.760000,13800
2021-05-28,9.765000,9.765000,9.720000,9.740000,9.740000,13000
2021-06-01,9.750000,9.750000,9.730000,9.740000,9.740000,6300
2021-06-02,9.730000,9.780000,9.730000,9.760000,9.760000,36200
2021-06-03,9.750000,9.800000,9.750000,9.800000,9.800000,37600
2021-06-04,9.760000,9.800000,9.760000,9.800000,9.800000,230200
2021-06-07,9.800000,9.810000,9.770000,9.780000,9.780000,407100
2021-06-08,9.800000,9.810000,9.780000,9.810000,9.810000,20400
2021-06-09,9.800000,9.810000,9.800000,9.810000,9.810000,17400
2021-06-10,9.810000,9.810000,9.790000,9.790000,9.790000,24700
2021-06-11,9.790000,9.810000,9.790000,9.810000,9.810000,10500
2021-06-14,9.790000,9.810000,9.790000,9.800000,9.800000,12200
2021-06-15,9.800000,9.804000,9.800000,9.800000,9.800000,21200
2021-06-16,9.800000,9.800000,9.770000,9.800000,9.800000,35900
2021-06-17,9.750000,9.760000,9.700000,9.760000,9.760000,52700
2021-06-18,9.750000,9.770000,9.750000,9.770000,9.770000,48400
2021-06-21,9.800000,9.800000,9.760000,9.780000,9.780000,51700
2021-06-22,9.800000,9.800000,9.770000,9.790000,9.790000,82900
2021-06-23,9.750000,9.760000,9.750000,9.760000,9.760000,52100
2021-06-24,9.751000,9.778000,9.750000,9.770000,9.770000,101300
2021-06-25,9.770000,9.770000,9.750000,9.750000,9.750000,17200
2021-06-28,9.750000,9.770000,9.750000,9.770000,9.770000,318900
2021-06-29,9.760000,9.770000,9.750000,9.760000,9.760000,8000
2021-06-30,9.730000,9.760000,9.730000,9.750000,9.750000,6100
2021-07-01,9.750000,9.760000,9.690000,9.750000,9.750000,246700
2021-07-02,9.750000,9.780000,9.750000,9.770000,9.770000,12600
2021-07-06,9.770000,9.800000,9.740000,9.790000,9.790000,53300
2021-07-07,9.750000,9.800000,9.750000,9.780000,9.780000,41700
2021-07-08,9.750000,9.760000,9.750000,9.750000,9.750000,2200
2021-07-09,9.750000,9.750000,9.730000,9.730000,9.730000,505800
2021-07-12,9.760000,9.810000,9.730000,9.760000,9.760000,551500
2021-07-13,9.750000,9.765000,9.750000,9.760000,9.760000,5200
2021-07-14,9.750000,9.770000,9.750000,9.760000,9.760000,11800
2021-07-15,9.740000,9.760000,9.720000,9.760000,9.760000,23000
2021-07-16,9.730000,9.780000,9.730000,9.760000,9.760000,105700
2021-07-19,9.750000,9.760000,9.700000,9.750000,9.750000,149800
2021-07-20,9.730000,9.780000,9.730000,9.780000,9.780000,43100
2021-07-21,9.754000,9.754000,9.730000,9.730000,9.730000,6600
2021-07-22,9.730000,9.760000,9.710000,9.733000,9.733000,43400
2021-07-23,9.720000,9.760000,9.720000,9.740000,9.740000,5500
2021-07-26,9.720000,9.720000,9.710000,9.710000,9.710000,400
2021-07-27,9.722000,9.722000,9.720000,9.720000,9.720000,500
2021-07-28,9.720000,9.720000,9.720000,9.720000,9.720000,0
2021-07-29,9.700000,9.715000,9.680000,9.700000,9.700000,11100
2021-07-30,9.700000,9.700000,9.700000,9.700000,9.700000,100
2021-08-02,9.700000,9.820000,9.680000,9.810000,9.810000,80200
2021-08-03,9.800000,9.810000,9.800000,9.810000,9.810000,20000
2021-08-04,9.800000,9.800000,9.730000,9.737000,9.737000,36800
2021-08-05,9.730000,9.770000,9.730000,9.760000,9.760000,15500
2021-08-06,9.730000,9.740000,9.700000,9.710000,9.710000,30700
2021-08-09,9.701000,9.715000,9.700000,9.700000,9.700000,5600
2021-08-10,9.700000,9.700000,9.700000,9.700000,9.700000,1800
2021-08-11,9.680000,9.700000,9.680000,9.700000,9.700000,1800
2021-08-12,9.690000,9.708000,9.690000,9.708000,9.708000,1700
