Date,Open,High,Low,Close,Adj Close,Volume
2022-02-04,19.000000,19.000000,15.793000,16.799999,16.799999,1093100
2022-02-07,18.049999,18.049999,15.650000,17.840000,17.840000,451400
2022-02-08,16.980000,18.136999,16.750000,17.780001,17.780001,132300
2022-02-09,18.070000,18.490000,16.370001,16.400000,16.400000,137800
2022-02-10,16.990000,17.340000,16.190001,16.860001,16.860001,111600
2022-02-11,16.510000,17.850000,16.450001,17.000000,17.000000,229700
2022-02-14,17.160000,17.440001,15.900000,16.450001,16.450001,147400
2022-02-15,16.879999,17.340000,16.555000,17.030001,17.030001,83700
2022-02-16,17.000000,17.740000,16.590000,17.200001,17.200001,121700
2022-02-17,17.490000,17.730000,16.500000,17.280001,17.280001,137900
2022-02-18,17.059999,18.090000,17.000000,17.820000,17.820000,99600
2022-02-22,18.040001,19.250000,16.940001,18.650000,18.650000,242300
2022-02-23,18.490000,19.059999,18.010000,19.059999,19.059999,108800
2022-02-24,18.680000,19.000000,16.680000,18.959999,18.959999,130800
2022-02-25,19.180000,19.180000,16.230000,16.940001,16.940001,249900
2022-02-28,17.120001,19.924999,15.550000,19.139999,19.139999,211100
2022-03-01,19.280001,19.280001,16.705000,17.070000,17.070000,165600
2022-03-02,16.900000,17.490000,16.556000,16.700001,16.700001,112000
2022-03-03,16.549999,18.240000,16.549999,17.900000,17.900000,79500
2022-03-04,18.150000,18.625000,17.080000,18.000000,18.000000,75600
2022-03-07,18.160000,19.040001,16.940001,17.180000,17.180000,148700
2022-03-08,17.030001,17.910000,16.510000,17.139999,17.139999,122800
2022-03-09,17.620001,18.219999,16.379999,16.389999,16.389999,120600
2022-03-10,16.280001,17.094999,15.622000,16.500000,16.500000,107000
2022-03-11,16.670000,17.350000,15.307000,16.680000,16.680000,76500
2022-03-14,16.980000,17.650000,16.170000,16.350000,16.350000,80100
2022-03-15,16.379999,17.670000,16.212000,17.020000,17.020000,117500
2022-03-16,17.629999,18.200001,16.514999,17.379999,17.379999,170600
2022-03-17,17.540001,18.007999,16.889999,17.120001,17.120001,222900
2022-03-18,17.180000,17.520000,15.550000,15.570000,15.570000,1450200
2022-03-18,17.180000,17.520000,15.550000,15.570000,15.570000,1214735
