Date,Open,High,Low,Close,Adj Close,Volume
2017-03-20,3.000000,3.200000,3.000000,3.050000,3.050000,229300
2017-03-21,3.100000,3.130000,2.850000,2.950000,2.950000,312600
2017-03-22,2.950000,3.100000,2.880000,3.050000,3.050000,155900
2017-03-23,3.050000,3.050000,2.950000,3.000000,3.000000,162500
2017-03-24,3.050000,3.150000,3.000000,3.080000,3.080000,191200
2017-03-27,3.000000,3.100000,3.000000,3.050000,3.050000,99900
2017-03-28,3.100000,3.150000,3.050000,3.100000,3.100000,118100
2017-03-29,3.100000,3.150000,3.070000,3.100000,3.100000,215400
2017-03-30,3.100000,3.150000,3.050000,3.100000,3.100000,316100
2017-03-31,3.100000,3.150000,3.080000,3.150000,3.150000,109100
2017-04-03,3.150000,3.200000,3.000000,3.030000,3.030000,164500
2017-04-04,3.050000,3.050000,3.000000,3.050000,3.050000,199600
2017-04-05,3.100000,3.100000,2.950000,2.950000,2.950000,225000
2017-04-06,3.000000,3.000000,2.850000,2.850000,2.850000,274400
2017-04-07,2.850000,2.850000,2.750000,2.750000,2.750000,294700
2017-04-10,2.750000,2.800000,2.750000,2.750000,2.750000,147300
2017-04-11,2.800000,2.800000,2.750000,2.750000,2.750000,143800
2017-04-12,2.750000,2.800000,2.500000,2.650000,2.650000,543900
2017-04-13,2.700000,2.800000,2.650000,2.750000,2.750000,210400
2017-04-17,2.750000,2.850000,2.630000,2.750000,2.750000,336000
2017-04-18,2.700000,2.700000,2.550000,2.700000,2.700000,176300
2017-04-19,2.700000,2.700000,2.650000,2.650000,2.650000,81400
2017-04-20,2.650000,2.750000,2.650000,2.700000,2.700000,119200
2017-04-21,2.650000,2.700000,2.550000,2.550000,2.550000,211400
2017-04-24,2.600000,2.650000,2.550000,2.600000,2.600000,163600
2017-04-25,2.600000,2.650000,2.500000,2.550000,2.550000,192600
2017-04-26,2.600000,2.650000,2.550000,2.600000,2.600000,166600
2017-04-27,2.650000,2.700000,2.600000,2.600000,2.600000,88000
2017-04-28,2.600000,2.650000,2.600000,2.600000,2.600000,100600
2017-05-01,2.600000,2.700000,2.600000,2.650000,2.650000,86000
2017-05-02,2.700000,2.700000,2.600000,2.650000,2.650000,127200
2017-05-03,2.650000,2.750000,2.630000,2.650000,2.650000,107100
2017-05-04,2.650000,2.700000,2.600000,2.600000,2.600000,82900
2017-05-05,2.600000,2.750000,2.600000,2.700000,2.700000,186200
2017-05-08,2.750000,2.950000,2.700000,2.850000,2.850000,286900
2017-05-09,2.700000,2.750000,2.550000,2.600000,2.600000,298100
2017-05-10,2.550000,2.600000,2.550000,2.580000,2.580000,163700
2017-05-11,2.550000,2.700000,2.500000,2.530000,2.530000,568200
2017-05-12,2.550000,2.600000,2.500000,2.500000,2.500000,311000
2017-05-15,2.500000,2.630000,2.500000,2.600000,2.600000,201800
2017-05-16,2.550000,2.600000,2.500000,2.500000,2.500000,222700
2017-05-17,2.500000,2.530000,2.450000,2.450000,2.450000,316300
2017-05-18,2.450000,2.500000,2.250000,2.350000,2.350000,385400
2017-05-19,2.350000,2.800000,2.300000,2.650000,2.650000,1049800
2017-05-22,2.650000,2.650000,2.500000,2.600000,2.600000,410700
2017-05-23,2.600000,2.750000,2.580000,2.650000,2.650000,185300
2017-05-24,2.650000,2.750000,2.550000,2.650000,2.650000,142600
2017-05-25,2.650000,2.680000,2.550000,2.550000,2.550000,159200
2017-05-26,2.550000,2.600000,2.530000,2.550000,2.550000,147900
2017-05-30,2.550000,2.580000,2.500000,2.500000,2.500000,137400
2017-05-31,2.500000,2.550000,2.500000,2.500000,2.500000,165400
2017-06-01,2.500000,2.580000,2.500000,2.500000,2.500000,161400
2017-06-02,2.500000,2.650000,2.500000,2.650000,2.650000,161800
2017-06-05,2.600000,2.600000,2.500000,2.530000,2.530000,257500
2017-06-06,2.500000,2.550000,2.400000,2.450000,2.450000,489900
2017-06-07,2.450000,2.530000,2.200000,2.250000,2.250000,691900
2017-06-08,2.250000,2.350000,2.250000,2.300000,2.300000,224900
2017-06-09,2.300000,2.300000,2.200000,2.230000,2.230000,400900
2017-06-12,2.200000,2.200000,1.950000,2.200000,2.200000,965500
2017-06-13,2.250000,2.400000,2.200000,2.380000,2.380000,290700
2017-06-14,2.400000,2.400000,2.300000,2.400000,2.400000,230600
2017-06-15,2.400000,2.400000,2.300000,2.300000,2.300000,170100
2017-06-16,2.250000,2.400000,2.200000,2.400000,2.400000,296300
2017-06-19,2.400000,2.700000,2.350000,2.500000,2.500000,1653400
2017-06-20,2.500000,2.550000,2.400000,2.500000,2.500000,371700
2017-06-21,2.550000,2.600000,2.500000,2.500000,2.500000,434700
2017-06-22,2.500000,2.580000,2.350000,2.400000,2.400000,458100
2017-06-23,2.350000,2.500000,2.150000,2.150000,2.150000,4239500
2017-06-26,2.200000,2.400000,2.150000,2.250000,2.250000,596900
2017-06-27,2.250000,2.350000,2.050000,2.050000,2.050000,799400
2017-06-28,2.100000,2.130000,2.000000,2.100000,2.100000,369000
2017-06-29,2.100000,2.200000,2.050000,2.150000,2.150000,681400
2017-06-30,2.150000,2.150000,2.100000,2.150000,2.150000,255200
2017-07-03,2.150000,2.150000,2.100000,2.100000,2.100000,140500
2017-07-05,2.100000,2.130000,2.050000,2.050000,2.050000,365600
2017-07-06,2.050000,2.100000,2.030000,2.050000,2.050000,299900
2017-07-07,2.100000,2.130000,2.050000,2.100000,2.100000,352400
2017-07-10,2.100000,2.250000,2.050000,2.170000,2.170000,1222000
2017-07-11,2.200000,2.280000,2.150000,2.250000,2.250000,578100
2017-07-12,2.250000,2.250000,2.150000,2.250000,2.250000,482800
2017-07-13,2.200000,2.250000,2.150000,2.150000,2.150000,259100
2017-07-14,2.300000,2.600000,2.230000,2.400000,2.400000,2335400
2017-07-17,2.850000,3.300000,2.800000,3.150000,3.150000,11026300
2017-07-18,3.100000,3.200000,3.050000,3.100000,3.100000,3154100
2017-07-19,3.100000,3.150000,2.850000,3.000000,3.000000,1637000
2017-07-20,3.050000,3.150000,2.950000,3.100000,3.100000,916500
2017-07-21,3.150000,3.250000,3.050000,3.150000,3.150000,847200
2017-07-24,3.200000,3.650000,3.150000,3.650000,3.650000,2325400
2017-07-25,3.800000,3.900000,3.600000,3.800000,3.800000,2520000
2017-07-26,3.700000,3.850000,3.650000,3.700000,3.700000,907400
2017-07-27,3.700000,3.710000,3.400000,3.450000,3.450000,1059300
2017-07-28,3.450000,3.700000,3.450000,3.650000,3.650000,794500
2017-07-31,3.750000,4.050000,3.550000,3.900000,3.900000,2765000
2017-08-01,3.550000,3.650000,3.100000,3.400000,3.400000,5365100
2017-08-02,3.300000,3.350000,2.850000,2.950000,2.950000,2608100
2017-08-03,3.000000,3.030000,2.750000,2.780000,2.780000,914000
2017-08-04,2.750000,3.000000,2.700000,2.900000,2.900000,1242300
2017-08-07,2.950000,3.000000,2.800000,2.950000,2.950000,852300
2017-08-08,2.950000,3.000000,2.850000,2.900000,2.900000,700000
2017-08-09,3.000000,3.100000,2.850000,3.000000,3.000000,1600900
2017-08-10,3.100000,3.130000,2.900000,2.950000,2.950000,1189000
2017-08-11,3.000000,3.100000,2.900000,2.950000,2.950000,723500
2017-08-14,2.950000,3.100000,2.930000,3.050000,3.050000,572600
2017-08-15,3.000000,3.100000,2.950000,2.980000,2.980000,391400
2017-08-16,2.950000,3.050000,2.950000,3.000000,3.000000,389600
2017-08-17,3.000000,3.050000,2.950000,3.000000,3.000000,409300
2017-08-18,3.000000,3.050000,2.900000,2.950000,2.950000,468800
2017-08-21,2.950000,3.000000,2.850000,2.950000,2.950000,388800
2017-08-22,2.900000,3.000000,2.860000,2.950000,2.950000,540300
2017-08-23,3.000000,3.050000,2.950000,3.000000,3.000000,797200
2017-08-24,3.050000,3.050000,2.950000,2.980000,2.980000,728000
2017-08-25,3.050000,3.100000,2.950000,2.950000,2.950000,1136400
2017-08-28,3.050000,3.100000,3.000000,3.050000,3.050000,1083800
2017-08-29,3.100000,3.300000,3.100000,3.200000,3.200000,2493900
2017-08-30,3.300000,3.450000,3.300000,3.350000,3.350000,1581100
2017-08-31,3.400000,3.450000,3.300000,3.300000,3.300000,974800
2017-09-01,3.300000,3.350000,3.250000,3.250000,3.250000,385500
2017-09-05,3.250000,3.330000,3.150000,3.300000,3.300000,818900
2017-09-06,3.400000,3.400000,3.200000,3.250000,3.250000,684200
2017-09-07,3.250000,3.250000,3.120000,3.250000,3.250000,547500
2017-09-08,3.200000,3.450000,3.200000,3.300000,3.300000,2396300
2017-09-11,3.350000,3.390000,3.150000,3.200000,3.200000,1051800
2017-09-12,3.300000,3.300000,3.200000,3.250000,3.250000,901000
2017-09-13,3.200000,3.250000,3.150000,3.150000,3.150000,1333800
2017-09-14,3.150000,3.200000,3.000000,3.000000,3.000000,1914000
2017-09-15,3.000000,3.150000,2.950000,3.100000,3.100000,1116200
2017-09-18,3.150000,3.250000,3.150000,3.200000,3.200000,1232800
2017-09-19,3.250000,3.300000,3.200000,3.200000,3.200000,900900
2017-09-20,3.250000,3.300000,3.200000,3.200000,3.200000,1168400
2017-09-21,3.250000,3.250000,3.150000,3.200000,3.200000,1818100
2017-09-22,3.200000,3.350000,3.150000,3.350000,3.350000,819900
2017-09-25,3.350000,3.950000,3.320000,3.900000,3.900000,3815500
2017-09-26,4.050000,4.700000,4.000000,4.250000,4.250000,4448800
2017-09-27,4.300000,4.450000,4.150000,4.400000,4.400000,1775000
2017-09-28,4.350000,4.500000,4.220000,4.350000,4.350000,1068600
2017-09-29,4.400000,4.650000,4.300000,4.600000,4.600000,1581200
2017-10-02,4.900000,5.600000,4.850000,5.500000,5.500000,4580200
2017-10-03,5.750000,5.750000,5.200000,5.500000,5.500000,3881900
2017-10-04,5.450000,5.450000,4.900000,5.230000,5.230000,2990600
2017-10-05,5.300000,5.350000,5.000000,5.050000,5.050000,1666900
2017-10-06,5.100000,5.200000,5.000000,5.100000,5.100000,2594500
2017-10-09,5.200000,5.400000,5.100000,5.200000,5.200000,3144200
2017-10-10,5.300000,5.600000,5.100000,5.500000,5.500000,6808100
2017-10-11,5.750000,5.750000,5.300000,5.350000,5.350000,6616100
2017-10-12,2.100000,2.480000,2.000000,2.150000,2.150000,24274300
2017-10-13,2.200000,2.250000,2.100000,2.130000,2.130000,5436300
2017-10-16,2.100000,2.150000,1.900000,1.950000,1.950000,5322200
2017-10-17,1.900000,1.950000,1.700000,1.750000,1.750000,4360900
2017-10-18,1.750000,1.750000,1.700000,1.750000,1.750000,1644800
2017-10-19,1.750000,1.800000,1.550000,1.750000,1.750000,3228500
2017-10-20,1.950000,2.000000,1.900000,2.000000,2.000000,2456500
2017-10-23,2.200000,2.200000,1.900000,2.030000,2.030000,2462700
2017-10-24,2.000000,2.050000,1.850000,2.000000,2.000000,1133100
2017-10-25,2.000000,2.050000,1.900000,1.930000,1.930000,602900
2017-10-26,1.950000,1.950000,1.800000,1.800000,1.800000,980100
2017-10-27,1.850000,1.900000,1.800000,1.850000,1.850000,457900
2017-10-30,1.900000,1.950000,1.800000,1.850000,1.850000,537700
2017-10-31,1.900000,1.950000,1.850000,1.900000,1.900000,534700
2017-11-01,1.900000,2.050000,1.900000,2.000000,2.000000,857800
2017-11-02,2.050000,2.050000,1.950000,2.000000,2.000000,442100
2017-11-03,1.950000,2.000000,1.950000,1.980000,1.980000,437500
2017-11-06,1.950000,2.000000,1.850000,1.930000,1.930000,1109200
2017-11-07,1.900000,1.950000,1.850000,1.900000,1.900000,863000
2017-11-08,1.850000,1.950000,1.850000,1.950000,1.950000,599600
2017-11-09,1.950000,2.000000,1.900000,1.950000,1.950000,472300
2017-11-10,1.900000,2.000000,1.850000,1.980000,1.980000,949900
2017-11-13,1.950000,2.000000,1.850000,1.900000,1.900000,682200
2017-11-14,1.950000,1.950000,1.850000,1.850000,1.850000,519900
2017-11-15,1.950000,1.980000,1.850000,1.900000,1.900000,1175300
2017-11-16,1.900000,2.150000,1.900000,2.050000,2.050000,2028200
