Date,Open,High,Low,Close,Adj Close,Volume
2021-06-08,16.129999,20.520000,14.500000,16.990000,16.990000,2080500
2021-06-09,15.630000,15.630000,14.120000,14.600000,14.600000,532500
2021-06-10,15.040000,15.790000,13.320000,13.560000,13.560000,367700
2021-06-11,13.760000,14.910000,13.110000,13.430000,13.430000,513200
2021-06-14,13.300000,15.900000,13.150000,14.010000,14.010000,827600
2021-06-15,13.800000,14.298000,13.400000,13.600000,13.600000,104400
2021-06-16,13.090000,14.000000,12.030000,12.840000,12.840000,297000
2021-06-17,12.700000,13.140000,12.260000,12.310000,12.310000,63900
2021-06-18,12.200000,14.000000,12.200000,12.870000,12.870000,326100
2021-06-21,12.740000,13.090000,12.210000,12.640000,12.640000,124700
2021-06-22,12.410000,13.430000,12.200000,13.050000,13.050000,273900
2021-06-23,12.840000,13.520000,12.600000,12.770000,12.770000,217500
2021-06-24,12.800000,14.680000,12.800000,13.090000,13.090000,208800
2021-06-25,13.166000,15.880000,12.781000,14.670000,14.670000,1124300
2021-06-28,14.260000,14.970000,13.660000,14.110000,14.110000,842700
2021-06-29,14.010000,14.400000,13.300000,13.660000,13.660000,747800
2021-06-30,13.320000,19.000000,12.750000,13.110000,13.110000,6554700
2021-07-01,13.060000,13.600000,12.550000,13.080000,13.080000,502200
2021-07-02,12.850000,13.168000,10.370000,11.120000,11.120000,945000
2021-07-06,10.610000,11.480000,10.500000,10.790000,10.790000,431900
2021-07-07,10.710000,10.970000,10.010000,10.160000,10.160000,198000
2021-07-08,9.420000,10.562000,9.150000,10.160000,10.160000,329900
2021-07-09,10.640000,12.130000,10.640000,10.840000,10.840000,699600
2021-07-12,11.080000,11.630000,10.890000,10.970000,10.970000,160200
2021-07-13,11.067000,11.261000,10.200000,10.370000,10.370000,115400
2021-07-14,10.190000,10.720000,9.800000,10.060000,10.060000,216500
2021-07-15,9.929000,10.350000,9.850000,10.020000,10.020000,61900
2021-07-16,9.990000,10.170000,9.330000,9.420000,9.420000,45200
2021-07-19,9.025000,9.800000,9.000000,9.420000,9.420000,33500
2021-07-20,9.800000,9.800000,9.270000,9.450000,9.450000,35500
2021-07-21,9.486000,10.680000,9.440000,10.100000,10.100000,68300
2021-07-22,10.010000,10.010000,9.410000,9.540000,9.540000,37500
2021-07-23,6.760000,6.840000,5.710000,6.180000,6.180000,400000
2021-07-26,4.380000,5.150000,4.000000,4.965000,4.965000,173000
2021-07-27,5.000000,5.051000,4.290000,4.600000,4.600000,216800
2021-07-28,4.540000,5.880000,4.540000,5.800000,5.800000,626500
2021-07-29,5.960000,6.440000,5.500000,5.580000,5.580000,147200
2021-07-30,5.240000,5.505000,4.600000,5.300000,5.300000,52100
2021-08-02,5.310000,5.632000,5.210000,5.440000,5.440000,31900
2021-08-03,5.340000,5.500000,5.050000,5.420000,5.420000,38700
2021-08-04,5.420000,5.450000,5.160000,5.277000,5.277000,44400
2021-08-05,5.180000,5.326000,5.040000,5.090000,5.090000,34200
2021-08-06,5.070000,5.370000,4.860000,4.910000,4.910000,21500
2021-08-09,4.910000,5.186000,4.610000,4.950000,4.950000,67100
