Date,Open,High,Low,Close,Adj Close,Volume
2017-03-20,2.790000,2.830000,2.780000,2.800000,2.800000,7977100
2017-03-21,2.800000,2.830000,2.740000,2.760000,2.760000,5687100
2017-03-22,2.730000,2.760000,2.710000,2.760000,2.760000,3275100
2017-03-23,2.750000,2.830000,2.740000,2.810000,2.810000,9012500
2017-03-24,2.790000,2.840000,2.790000,2.800000,2.800000,4035700
2017-03-27,2.760000,2.810000,2.760000,2.810000,2.810000,3034500
2017-03-28,2.800000,2.850000,2.790000,2.820000,2.820000,7217400
2017-03-29,2.810000,2.850000,2.810000,2.830000,2.830000,3889300
2017-03-30,2.840000,2.950000,2.830000,2.880000,2.880000,22848000
2017-03-31,2.900000,2.920000,2.840000,2.850000,2.850000,5422000
2017-04-03,2.850000,2.860000,2.790000,2.830000,2.830000,5268000
2017-04-04,2.810000,2.840000,2.790000,2.790000,2.790000,9823800
2017-04-05,2.790000,2.820000,2.780000,2.780000,2.780000,7753400
2017-04-06,2.810000,2.820000,2.780000,2.800000,2.800000,4623800
2017-04-07,2.790000,2.870000,2.780000,2.800000,2.800000,4012600
2017-04-10,2.810000,2.830000,2.760000,2.790000,2.790000,17655300
2017-04-11,2.790000,2.830000,2.780000,2.790000,2.790000,10170300
2017-04-12,2.790000,2.810000,2.770000,2.780000,2.780000,2941800
2017-04-13,2.770000,2.810000,2.760000,2.770000,2.770000,3044600
2017-04-17,2.730000,2.800000,2.730000,2.780000,2.780000,6556100
2017-04-18,2.770000,2.830000,2.770000,2.820000,2.820000,22883300
2017-04-19,2.810000,2.850000,2.790000,2.820000,2.820000,5771200
2017-04-20,2.840000,2.850000,2.820000,2.820000,2.820000,2892700
2017-04-21,2.800000,2.820000,2.770000,2.790000,2.790000,5321300
2017-04-24,2.820000,2.860000,2.790000,2.860000,2.860000,6127500
2017-04-25,2.850000,2.900000,2.820000,2.860000,2.860000,6989300
2017-04-26,2.850000,2.900000,2.820000,2.820000,2.820000,12697800
2017-04-27,2.840000,2.870000,2.820000,2.840000,2.840000,4550100
2017-04-28,2.860000,2.940000,2.810000,2.890000,2.890000,8827400
2017-05-01,2.900000,2.940000,2.840000,2.870000,2.870000,9310100
2017-05-02,2.850000,2.930000,2.840000,2.910000,2.910000,5429900
2017-05-03,2.910000,2.910000,2.850000,2.900000,2.900000,3128900
2017-05-04,2.900000,2.930000,2.840000,2.840000,2.840000,11887800
2017-05-05,3.020000,3.230000,2.960000,3.200000,3.200000,42217100
2017-05-08,3.220000,3.400000,3.170000,3.340000,3.340000,34813600
2017-05-09,3.280000,3.360000,3.220000,3.330000,3.330000,18887200
2017-05-10,3.340000,3.390000,3.310000,3.370000,3.370000,9947900
2017-05-11,3.330000,3.400000,3.260000,3.400000,3.400000,11306600
2017-05-12,3.350000,3.400000,3.320000,3.320000,3.320000,8879200
2017-05-15,3.310000,3.430000,3.300000,3.390000,3.390000,16077200
2017-05-16,3.400000,3.520000,3.380000,3.490000,3.490000,20377600
2017-05-17,3.410000,3.470000,3.350000,3.370000,3.370000,16566600
2017-05-18,3.350000,3.450000,3.350000,3.400000,3.400000,19350100
2017-05-19,3.430000,3.510000,3.410000,3.450000,3.450000,16499000
2017-05-22,3.450000,3.480000,3.400000,3.440000,3.440000,6198000
2017-05-23,3.470000,3.520000,3.400000,3.500000,3.500000,12357000
2017-05-24,3.500000,3.600000,3.460000,3.580000,3.580000,11845600
2017-05-25,3.590000,3.630000,3.450000,3.490000,3.490000,15632300
2017-05-26,3.480000,3.510000,3.400000,3.490000,3.490000,7998200
2017-05-30,3.550000,3.620000,3.490000,3.600000,3.600000,22613400
2017-05-31,3.610000,3.630000,3.500000,3.520000,3.520000,14839400
2017-06-01,3.540000,3.650000,3.530000,3.580000,3.580000,15706200
2017-06-02,3.600000,3.700000,3.540000,3.630000,3.630000,17037100
2017-06-05,3.640000,3.680000,3.600000,3.610000,3.610000,10820800
2017-06-06,3.600000,3.690000,3.580000,3.610000,3.610000,10057200
2017-06-07,3.630000,3.640000,3.550000,3.590000,3.590000,11672800
