Date,Open,High,Low,Close,Adj Close,Volume
2021-07-22,12.500000,14.000000,11.880000,13.650000,13.650000,4666600
2021-07-23,13.280000,14.390000,13.252000,13.770000,13.770000,1099400
2021-07-26,14.000000,14.380000,13.600000,13.770000,13.770000,435600
2021-07-27,13.830000,13.990000,12.300000,13.160000,13.160000,390500
2021-07-28,13.000000,13.504000,13.000000,13.010000,13.010000,224600
2021-07-29,13.350000,13.605000,13.000000,13.470000,13.470000,203400
2021-07-30,13.400000,13.760000,13.088000,13.310000,13.310000,186600
2021-08-02,13.760000,13.800000,13.280000,13.630000,13.630000,173400
2021-08-03,13.650000,13.945000,13.522000,13.830000,13.830000,194200
2021-08-04,13.780000,14.170000,13.618000,14.020000,14.020000,158300
2021-08-05,14.000000,14.080000,13.610000,13.680000,13.680000,282400
2021-08-06,13.670000,14.610000,13.500000,14.100000,14.100000,363300
2021-08-09,14.110000,14.500000,13.870000,13.980000,13.980000,211000
2021-08-10,14.000000,14.270000,13.800000,13.930000,13.930000,277800
2021-08-11,13.810000,14.198000,13.340000,14.110000,14.110000,236700
2021-08-12,13.890000,14.150000,13.820000,13.970000,13.970000,180400
2021-08-13,13.840000,13.850000,12.530000,12.790000,12.790000,468100
2021-08-16,13.100000,13.110000,10.810000,11.010000,11.010000,761000
2021-08-17,11.070000,12.860000,11.060000,12.300000,12.300000,845600
2021-08-18,12.190000,12.466000,11.650000,12.020000,12.020000,469100
2021-08-19,11.810000,13.330000,11.810000,13.140000,13.140000,469900
2021-08-20,13.320000,14.050000,13.310000,13.600000,13.600000,401300
2021-08-23,13.510000,13.565000,12.770000,12.970000,12.970000,250800
2021-08-24,12.940000,15.000000,12.890000,14.090000,14.090000,394500
2021-08-25,14.080000,14.397000,13.530000,13.840000,13.840000,211100
2021-08-26,13.660000,15.250000,13.608000,14.870000,14.870000,289400
2021-08-27,14.870000,16.070000,14.400000,16.040001,16.040001,324200
2021-08-30,16.059999,16.150000,14.310000,14.310000,14.310000,474100
2021-08-31,14.530000,15.480000,13.800000,13.820000,13.820000,261600
2021-09-01,13.850000,14.745000,13.850000,14.290000,14.290000,160300
2021-09-02,14.900000,15.980000,14.570000,15.380000,15.380000,413400
2021-09-03,15.680000,17.330000,15.280000,16.910000,16.910000,342500
2021-09-07,17.000000,17.500000,15.610000,16.120001,16.120001,315900
2021-09-08,16.200001,16.882000,14.110000,14.210000,14.210000,334900
2021-09-09,14.160000,14.830000,13.910000,13.950000,13.950000,317600
