Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,10.000000,10.000000,9.680000,9.717000,9.717000,1000
2021-04-06,9.950000,9.950000,9.950000,9.950000,9.950000,200
2021-04-07,9.810000,9.810000,9.810000,9.810000,9.810000,400
2021-04-08,9.810000,9.810000,9.800000,9.800000,9.800000,1800
2021-04-09,9.810000,9.810000,9.790000,9.790000,9.790000,2600
2021-04-12,9.790000,9.790000,9.790000,9.790000,9.790000,0
2021-04-13,9.900000,9.900000,9.670000,9.710000,9.710000,351300
2021-04-14,9.710000,9.820000,9.700000,9.800000,9.800000,55000
2021-04-15,9.850000,9.850000,9.780000,9.800000,9.800000,15600
2021-04-16,9.780000,9.811000,9.760000,9.770000,9.770000,26200
2021-04-19,9.800000,9.800000,9.770000,9.800000,9.800000,800
2021-04-20,9.800000,9.800000,9.800000,9.800000,9.800000,0
2021-04-21,9.800000,9.800000,9.710000,9.750000,9.750000,5500
2021-04-22,9.850000,9.850000,9.730000,9.750000,9.750000,30300
2021-04-23,9.810000,9.810000,9.747000,9.747000,9.747000,1251900
2021-04-26,9.750000,9.750000,9.740000,9.750000,9.750000,116700
2021-04-27,9.730000,9.820000,9.720000,9.820000,9.820000,166600
2021-04-28,9.750000,9.790000,9.750000,9.760000,9.760000,3400
2021-04-29,9.760000,9.760000,9.760000,9.760000,9.760000,5500
2021-04-30,9.790000,9.799000,9.730000,9.740000,9.740000,186800
2021-05-03,9.750000,9.750000,9.700000,9.700000,9.700000,39000
2021-05-04,9.760000,9.770000,9.680000,9.680000,9.680000,234400
2021-05-05,9.700000,9.710000,9.690000,9.710000,9.710000,228000
2021-05-06,9.720000,9.730000,9.720000,9.729000,9.729000,5900
2021-05-07,9.725000,9.760000,9.690000,9.690000,9.690000,800
2021-05-10,9.690000,9.690000,9.690000,9.690000,9.690000,0
2021-05-11,9.710000,9.785000,9.700000,9.730000,9.730000,15200
2021-05-12,9.740000,9.740000,9.660000,9.680000,9.680000,3700
